date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20260201,,1,予選,晴,西,2,2,1,1,4155,長 野 壮志郎,26,42,6.66,1,0.17,1.47.0,1-3-2,920,2,1-3,460,2,1-2-3,240,1,1-3,330,2
20260201,,1,予選,晴,西,2,2,2,3,4531,武 富 智 亮,16,36,6.59,3,0.13,1.48.2,1-3-2,920,2,1-3,460,2,1-2-3,240,1,1-3,330,2
20260201,,1,予選,晴,西,2,2,3,2,5142,常 住 蓮,8,12,6.72,2,0.16,1.49.2,1-3-2,920,2,1-3,460,2,1-2-3,240,1,1-3,330,2
20260201,,1,予選,晴,西,2,2,4,5,4679,植 田 太 一,32,47,6.72,5,0.17,1.50.4,1-3-2,920,2,1-3,460,2,1-2-3,240,1,1-3,330,2
20260201,,1,予選,晴,西,2,2,5,4,4530,小 野 生 奈,29,5,6.71,4,0.21,1.51.0,1-3-2,920,2,1-3,460,2,1-2-3,240,1,1-3,330,2
20260201,,1,予選,晴,西,2,2,6,6,4590,渡 邉 優 美,46,15,6.76,6,0.14,1.53.7,1-3-2,920,2,1-3,460,2,1-2-3,240,1,1-3,330,2
20260201,,2,予選,曇り,西,2,2,1,2,5084,末 永 和 也,27,11,6.69,2,0.09,1.47.6,2-4-1,2220,6,2-4,510,2,1-2-4,430,1,2-4,440,2
20260201,,2,予選,曇り,西,2,2,2,4,4256,渡 辺 浩 司,7,33,6.63,4,0.15,1.50.8,2-4-1,2220,6,2-4,510,2,1-2-4,430,1,2-4,440,2
20260201,,2,予選,曇り,西,2,2,3,1,3265,今 村 暢 孝,43,22,6.72,1,0.11,1.52.0,2-4-1,2220,6,2-4,510,2,1-2-4,430,1,2-4,440,2
20260201,,2,予選,曇り,西,2,2,4,5,4136,江 夏 満,2,45,6.74,5,0.15,1.52.8,2-4-1,2220,6,2-4,510,2,1-2-4,430,1,2-4,440,2
20260201,,2,予選,曇り,西,2,2,5,6,5193,米 丸 乃 絵,28,10,6.68,6,0.12,1.52.9,2-4-1,2220,6,2-4,510,2,1-2-4,430,1,2-4,440,2
20260201,,2,予選,曇り,西,2,2,6,3,4485,楠 原 正 剛,31,56,6.71,3,0.11,1.53.1,2-4-1,2220,6,2-4,510,2,1-2-4,430,1,2-4,440,2
20260201,,3,予選,曇り,北西,2,2,1,1,4296,岡 崎 恭 裕,35,17,6.67,1,0.12,1.47.5,1-3-6,4950,15,1-3,410,1,1-3-6,2850,9,1-3,370,1
20260201,,3,予選,曇り,北西,2,2,2,3,5026,安河内 健,42,21,6.66,3,0.17,1.48.3,1-3-6,4950,15,1-3,410,1,1-3-6,2850,9,1-3,370,1
20260201,,3,予選,曇り,北西,2,2,3,6,4102,益 田 啓 司,41,29,6.63,6,0.16,1.49.7,1-3-6,4950,15,1-3,410,1,1-3-6,2850,9,1-3,370,1
20260201,,3,予選,曇り,北西,2,2,4,2,4433,川 野 芽 唯,40,35,6.63,2,0.18,1.50.4,1-3-6,4950,15,1-3,410,1,1-3-6,2850,9,1-3,370,1
20260201,,3,予選,曇り,北西,2,2,5,5,4445,宮 地 元 輝,60,34,6.62,5,0.12,1.52.5,1-3-6,4950,15,1-3,410,1,1-3-6,2850,9,1-3,370,1
20260201,,3,予選,曇り,北西,2,2,6,4,4994,山 本 梨 菜,15,58,6.61,4,0.21,1.52.5,1-3-6,4950,15,1-3,410,1,1-3-6,2850,9,1-3,370,1
20260201,,4,予選,曇り,北,3,3,1,2,4351,里 岡 右 貴,6,50,6.69,3,0.08,1.47.4,2-1-3,3050,8,2-1,1070,5,1-2-3,480,1,1-2,440,1
20260201,,4,予選,曇り,北,3,3,2,1,4121,富 永 修 一,37,23,6.67,1,0.12,1.48.4,2-1-3,3050,8,2-1,1070,5,1-2-3,480,1,1-2,440,1
20260201,,4,予選,曇り,北,3,3,3,3,4350,篠 崎 元 志,14,20,6.67,4,0.07,1.49.9,2-1-3,3050,8,2-1,1070,5,1-2-3,480,1,1-2,440,1
20260201,,4,予選,曇り,北,3,3,4,4,4736,高 倉 和 士,36,8,6.69,5,0.15,1.51.3,2-1-3,3050,8,2-1,1070,5,1-2-3,480,1,1-2,440,1
20260201,,4,予選,曇り,北,3,3,5,6,3623,深 川 真 二,1,3,6.63,2,0.11,1.52.4,2-1-3,3050,8,2-1,1070,5,1-2-3,480,1,1-2,440,1
20260201,,4,予選,曇り,北,3,3,6,5,4174,赤 坂 俊 輔,9,16,6.69,6,0.12,1.53.2,2-1-3,3050,8,2-1,1070,5,1-2-3,480,1,1-2,440,1
20260201,,5,予選,晴,北西,2,2,1,5,4320,峰 竜 太,34,55,6.64,4,0.08,1.47.0,5-3-2,7970,34,5-3,1990,10,2-3-5,920,4,3-5,880,5
20260201,,5,予選,晴,北西,2,2,2,3,5018,竹 下 大 樹,58,4,6.67,5,0.08,1.48.3,5-3-2,7970,34,5-3,1990,10,2-3-5,920,4,3-5,880,5
20260201,,5,予選,晴,北西,2,2,3,2,4566,塩 田 北 斗,54,57,6.68,3,0.19,1.50.6,5-3-2,7970,34,5-3,1990,10,2-3-5,920,4,3-5,880,5
20260201,,5,予選,晴,北西,2,2,4,6,4287,今 井 貴 士,13,60,6.69,6,0.11,1.51.4,5-3-2,7970,34,5-3,1990,10,2-3-5,920,4,3-5,880,5
20260201,,5,予選,晴,北西,2,2,5,1,4522,古 澤 光 紀,12,39,6.65,1,0.21,1.52.7,5-3-2,7970,34,5-3,1990,10,2-3-5,920,4,3-5,880,5
20260201,,5,予選,晴,北西,2,2,6,4,3473,石 川 真 二,24,43,6.81,2,0.17,1.54.1,5-3-2,7970,34,5-3,1990,10,2-3-5,920,4,3-5,880,5
20260201,,6,予選,曇り,北西,2,2,1,5,5121,定 松 勇 樹,20,31,6.65,5,0.04,1.46.2,5-3-1,5290,20,5-3,2120,10,1-3-5,340,1,3-5,1000,5
20260201,,6,予選,曇り,北西,2,2,2,3,4503,上 野 真之介,11,24,6.61,3,0.08,1.48.2,5-3-1,5290,20,5-3,2120,10,1-3-5,340,1,3-5,1000,5
20260201,,6,予選,曇り,北西,2,2,3,1,4193,郷 原 章 平,21,18,6.63,1,0.14,1.49.5,5-3-1,5290,20,5-3,2120,10,1-3-5,340,1,3-5,1000,5
20260201,,6,予選,曇り,北西,2,2,4,6,4938,小 芦 るり華,25,38,6.64,6,0.05,1.50.8,5-3-1,5290,20,5-3,2120,10,1-3-5,340,1,3-5,1000,5
20260201,,6,予選,曇り,北西,2,2,5,2,4590,渡 邉 優 美,46,15,6.66,2,0.11,1.52.2,5-3-1,5290,20,5-3,2120,10,1-3-5,340,1,3-5,1000,5
20260201,,6,予選,曇り,北西,2,2,6,4,3783,瓜 生 正 義,47,13,6.61,4,0.07,1.53.3,5-3-1,5290,20,5-3,2120,10,1-3-5,340,1,3-5,1000,5
20260201,,7,予選,曇り,北西,2,2,1,1,4530,小 野 生 奈,29,5,6.55,1,0.05,1.46.7,1-2-3,1470,2,1-2,380,1,1-2-3,620,2,1-2,280,1
20260201,,7,予選,曇り,北西,2,2,2,2,4294,古 賀 繁 輝,4,41,6.59,2,0.11,1.48.8,1-2-3,1470,2,1-2,380,1,1-2-3,620,2,1-2,280,1
20260201,,7,予選,曇り,北西,2,2,3,3,4949,横 田 貴 満,49,59,6.67,3,0.13,1.50.2,1-2-3,1470,2,1-2,380,1,1-2-3,620,2,1-2,280,1
20260201,,7,予選,曇り,北西,2,2,4,6,3779,原 田 幸 哉,48,37,6.67,6,0.07,1.51.0,1-2-3,1470,2,1-2,380,1,1-2-3,620,2,1-2,280,1
20260201,,7,予選,曇り,北西,2,2,5,4,5026,安河内 健,42,21,6.64,4,0.13,1.51.0,1-2-3,1470,2,1-2,380,1,1-2-3,620,2,1-2,280,1
20260201,,7,予選,曇り,北西,2,2,6,5,4256,渡 辺 浩 司,7,33,6.64,5,0.11,1.54.2,1-2-3,1470,2,1-2,380,1,1-2-3,620,2,1-2,280,1
20260201,,8,予選,曇り,北西,3,3,1,2,4121,富 永 修 一,37,23,6.60,3,0.11,1.47.3,2-5-1,32540,94,2-5,5590,23,1-2-5,3530,16,2-5,3590,14
20260201,,8,予選,曇り,北西,3,3,2,5,3265,今 村 暢 孝,43,22,6.73,1,0.08,1.48.5,2-5-1,32540,94,2-5,5590,23,1-2-5,3530,16,2-5,3590,14
20260201,,8,予選,曇り,北西,3,3,3,1,4447,深 川 麻奈美,56,2,6.63,2,0.11,1.50.2,2-5-1,32540,94,2-5,5590,23,1-2-5,3530,16,2-5,3590,14
20260201,,8,予選,曇り,北西,3,3,4,4,4296,岡 崎 恭 裕,35,17,6.67,5,0.11,1.51.4,2-5-1,32540,94,2-5,5590,23,1-2-5,3530,16,2-5,3590,14
20260201,,8,予選,曇り,北西,3,3,5,3,4288,永 田 啓 二,23,48,6.64,4,0.09,1.52.4,2-5-1,32540,94,2-5,5590,23,1-2-5,3530,16,2-5,3590,14
20260201,,8,予選,曇り,北西,3,3,6,6,4734,安河内 将,5,1,6.66,6,0.16,1.54.4,2-5-1,32540,94,2-5,5590,23,1-2-5,3530,16,2-5,3590,14
20260201,,9,予選,曇り,北西,2,2,1,1,4736,高 倉 和 士,36,8,6.69,1,0.12,1.50.9,1-4-5,2410,7,1-4,470,1,1-4-5,1190,7,1-4,350,1
20260201,,9,予選,曇り,北西,2,2,2,4,5142,常 住 蓮,8,12,6.61,4,0.13,1.53.0,1-4-5,2410,7,1-4,470,1,1-4-5,1190,7,1-4,350,1
20260201,,9,予選,曇り,北西,2,2,3,5,4287,今 井 貴 士,13,60,6.66,5,0.23,1.55.4,1-4-5,2410,7,1-4,470,1,1-4-5,1190,7,1-4,350,1
20260201,,9,予選,曇り,北西,2,2,4,6,3898,平 田 忠 則,22,19,6.55,6,0.14,1.58.6,1-4-5,2410,7,1-4,470,1,1-4-5,1190,7,1-4,350,1
20260201,,9,予選,曇り,北西,2,2,5,3,4994,山 本 梨 菜,15,58,6.61,3,0.16,2.00.2,1-4-5,2410,7,1-4,470,1,1-4-5,1190,7,1-4,350,1
20260201,,10,予選,晴,西,5,5,1,1,4350,篠 崎 元 志,14,20,6.62,1,0.12,1.47.1,1-3-5,700,1,1-3,270,1,1-3-5,340,2,1-3,200,1
20260201,,10,予選,晴,西,5,5,2,3,4320,峰 竜 太,34,55,6.63,3,0.15,1.47.7,1-3-5,700,1,1-3,270,1,1-3-5,340,2,1-3,200,1
20260201,,10,予選,晴,西,5,5,3,5,4848,仲 谷 颯 仁,59,46,6.62,5,0.21,1.49.7,1-3-5,700,1,1-3,270,1,1-3-5,340,2,1-3,200,1
20260201,,10,予選,晴,西,5,5,4,2,4531,武 富 智 亮,16,36,6.53,2,0.15,1.50.6,1-3-5,700,1,1-3,270,1,1-3-5,340,2,1-3,200,1
20260201,,10,予選,晴,西,5,5,5,6,4545,岡 村 慶 太,33,44,6.61,6,0.13,1.51.4,1-3-5,700,1,1-3,270,1,1-3-5,340,2,1-3,200,1
20260201,,10,予選,晴,西,5,5,6,4,4485,楠 原 正 剛,31,56,6.66,4,0.17,1.52.0,1-3-5,700,1,1-3,270,1,1-3-5,340,2,1-3,200,1
20260201,,11,予選,晴,北西,3,3,1,1,3783,瓜 生 正 義,47,13,6.59,1,0.14,1.47.0,1-3-5,1490,3,1-3,400,1,1-3-5,600,2,1-3,390,2
20260201,,11,予選,晴,北西,3,3,2,3,3623,深 川 真 二,1,3,6.70,3,0.11,1.47.9,1-3-5,1490,3,1-3,400,1,1-3-5,600,2,1-3,390,2
20260201,,11,予選,晴,北西,3,3,3,5,4371,西 山 貴 浩,19,27,6.67,5,0.27,1.49.7,1-3-5,1490,3,1-3,400,1,1-3-5,600,2,1-3,390,2
20260201,,11,予選,晴,北西,3,3,4,4,4364,池 永 太,44,52,6.67,4,0.14,1.50.7,1-3-5,1490,3,1-3,400,1,1-3-5,600,2,1-3,390,2
20260201,,11,予選,晴,北西,3,3,5,6,4477,篠 崎 仁 志,45,6,6.70,6,0.24,1.51.8,1-3-5,1490,3,1-3,400,1,1-3-5,600,2,1-3,390,2
20260201,,11,予選,晴,北西,3,3,6,2,4679,植 田 太 一,32,47,6.64,2,0.17,1.54.3,1-3-5,1490,3,1-3,400,1,1-3-5,600,2,1-3,390,2
20260201,,12,予選,晴,北西,2,2,1,1,4445,宮 地 元 輝,60,34,6.61,1,0.18,1.47.4,1-5-4,1190,2,1-5,410,2,1-4-5,490,1,1-5,360,1
20260201,,12,予選,晴,北西,2,2,2,5,5084,末 永 和 也,27,11,6.71,5,0.20,1.48.2,1-5-4,1190,2,1-5,410,2,1-4-5,490,1,1-5,360,1
20260201,,12,予選,晴,北西,2,2,3,4,4932,新 開 航,10,14,6.66,4,0.19,1.49.3,1-5-4,1190,2,1-5,410,2,1-4-5,490,1,1-5,360,1
20260201,,12,予選,晴,北西,2,2,4,2,4556,竹 井 奈 美,18,40,6.68,2,0.22,1.50.0,1-5-4,1190,2,1-5,410,2,1-4-5,490,1,1-5,360,1
20260201,,12,予選,晴,北西,2,2,5,6,4352,下 條 雄太郎,50,28,6.68,6,0.24,1.51.7,1-5-4,1190,2,1-5,410,2,1-4-5,490,1,1-5,360,1
20260201,,12,予選,晴,北西,2,2,6,3,4522,古 澤 光 紀,12,39,6.70,3,0.25,1.53.8,1-5-4,1190,2,1-5,410,2,1-4-5,490,1,1-5,360,1
20260201,,1,サンライズＶ,曇り,北西,3,3,1,1,4790,柳 内 敬 太,8,123,6.79,1,0.07,1.47.4,1-2-5,3270,15,1-2,670,3,1-2-5,1710,10,1-2,440,2
20260201,,1,サンライズＶ,曇り,北西,3,3,2,2,4114,深 澤 達 徳,53,120,6.81,2,0.16,1.48.8,1-2-5,3270,15,1-2,670,3,1-2-5,1710,10,1-2,440,2
