date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20260403,丸亀,1,一般,晴,北西,3,3,1,1,5352,西 岡 蒼 志,37,50,6.84,1,0.17,1.48.3,1-4-6,700,2,1-4,230,1,1-4-6,500,2,1-4,220,1,,,,,,,
20260403,丸亀,1,一般,晴,北西,3,3,2,4,4209,藤 田 竜 弘,36,34,6.93,4,0.17,1.51.1,1-4-6,700,2,1-4,230,1,1-4-6,500,2,1-4,220,1,,,,,,,
20260403,丸亀,1,一般,晴,北西,3,3,3,6,4894,原 村 拓 也,40,4,6.85,6,0.20,1.52.9,1-4-6,700,2,1-4,230,1,1-4-6,500,2,1-4,220,1,,,,,,,
20260403,丸亀,1,一般,晴,北西,3,3,4,3,4097,貫地谷 直 人,44,14,6.96,3,0.29,1.54.0,1-4-6,700,2,1-4,230,1,1-4-6,500,2,1-4,220,1,,,,,,,
20260403,丸亀,1,一般,晴,北西,3,3,5,2,4692,酒 井 俊 弘,56,40,6.93,2,0.14,1.54.4,1-4-6,700,2,1-4,230,1,1-4-6,500,2,1-4,220,1,,,,,,,
20260403,丸亀,1,一般,晴,北西,3,3,6,5,5406,小 畑 楓 夏,65,58,6.83,5,0.12,1.56.7,1-4-6,700,2,1-4,230,1,1-4-6,500,2,1-4,220,1,,,,,,,
20260403,丸亀,2,一般,晴,北西,3,3,1,5,5255,藤 原 仙 二,10,65,6.77,5,0.10,1.49.1,5-1-4,3100,10,5-1,1330,7,1-4-5,410,2,1-5,420,1,,,,,,,
20260403,丸亀,2,一般,晴,北西,3,3,2,1,5311,小 林 京 平,62,46,6.81,1,0.17,1.50.3,5-1-4,3100,10,5-1,1330,7,1-4-5,410,2,1-5,420,1,,,,,,,
20260403,丸亀,2,一般,晴,北西,3,3,3,4,4298,宮 下 元 胤,18,47,6.75,4,0.11,1.52.4,5-1-4,3100,10,5-1,1330,7,1-4-5,410,2,1-5,420,1,,,,,,,
20260403,丸亀,2,一般,晴,北西,3,3,4,3,3107,平 岡 重 典,63,60,6.84,3,0.11,1.54.1,5-1-4,3100,10,5-1,1330,7,1-4-5,410,2,1-5,420,1,,,,,,,
20260403,丸亀,2,一般,晴,北西,3,3,5,2,4214,林 祐 介,35,29,6.83,2,0.14,1.56.0,5-1-4,3100,10,5-1,1330,7,1-4-5,410,2,1-5,420,1,,,,,,,
