date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20251016,びわこ,1,予選,曇り,北,2,2,1,1,5050,木 下 雄 介,27,49,6.77,1,0.08,1.49.6,1-4-3,1450,5,1-4,330,1,1-3-4,660,3,1-4,290,1,,,,,,,
20251016,びわこ,1,予選,曇り,北,2,2,2,4,4633,森 智 也,37,14,6.72,4,0.09,1.50.9,1-4-3,1450,5,1-4,330,1,1-3-4,660,3,1-4,290,1,,,,,,,
20251016,びわこ,1,予選,曇り,北,2,2,3,3,4440,萩 原 知 哉,53,61,6.71,3,0.08,1.53.1,1-4-3,1450,5,1-4,330,1,1-3-4,660,3,1-4,290,1,,,,,,,
20251016,びわこ,1,予選,曇り,北,2,2,4,2,4457,神 田 達 也,11,43,6.79,2,0.15,1.54.4,1-4-3,1450,5,1-4,330,1,1-3-4,660,3,1-4,290,1,,,,,,,
20251016,びわこ,1,予選,曇り,北,2,2,5,6,4382,高 山 智 至,50,21,6.70,5,0.11,,1-4-3,1450,5,1-4,330,1,1-3-4,660,3,1-4,290,1,,,,,,,
20251016,びわこ,1,予選,曇り,北,2,2,6,5,4318,桑 原 将 光,24,58,6.69,6,0.31,,1-4-3,1450,5,1-4,330,1,1-3-4,660,3,1-4,290,1,,,,,,,
20251016,びわこ,2,予選,雨,北,1,2,1,3,4856,豊 田 健士郎,13,48,6.63,3,0.15,1.49.5,3-1-4,1950,4,3-1,390,1,1-3-4,660,3,1-3,210,1,,,,,,,
20251016,びわこ,2,予選,雨,北,1,2,2,1,3935,岩 津 徹 郎,25,54,6.71,1,0.15,1.50.9,3-1-4,1950,4,3-1,390,1,1-3-4,660,3,1-3,210,1,,,,,,,
20251016,びわこ,2,予選,雨,北,1,2,3,4,4641,磯 村 匠,16,23,6.53,4,0.18,1.52.9,3-1-4,1950,4,3-1,390,1,1-3-4,660,3,1-3,210,1,,,,,,,
20251016,びわこ,2,予選,雨,北,1,2,4,6,4287,今 井 貴 士,18,36,6.66,6,0.16,1.53.9,3-1-4,1950,4,3-1,390,1,1-3-4,660,3,1-3,210,1,,,,,,,
