date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20260805,三国,1,みくにあさイ,晴,南東,1,1,1,3,5350,網 代 良 芽,57,24,6.58,3,0.12,1.49.9,3-1-5,3780,13,3-1,690,3,1-3-5,1140,6,1-3,230,1,,,,,,,
20260805,三国,1,みくにあさイ,晴,南東,1,1,2,1,3918,深 井 利 寿,11,66,6.71,1,0.09,1.51.7,3-1-5,3780,13,3-1,690,3,1-3-5,1140,6,1-3,230,1,,,,,,,
20260805,三国,1,みくにあさイ,晴,南東,1,1,3,5,5178,成 貞 琳 平,26,16,6.78,5,0.16,1.52.6,3-1-5,3780,13,3-1,690,3,1-3-5,1140,6,1-3,230,1,,,,,,,
20260805,三国,1,みくにあさイ,晴,南東,1,1,4,2,4154,森 安 弘 雅,59,48,6.78,2,0.14,1.55.0,3-1-5,3780,13,3-1,690,3,1-3-5,1140,6,1-3,230,1,,,,,,,
20260805,三国,1,みくにあさイ,晴,南東,1,1,5,6,4905,土 井 祥 伍,43,11,6.71,6,0.19,,3-1-5,3780,13,3-1,690,3,1-3-5,1140,6,1-3,230,1,,,,,,,
20260805,三国,1,みくにあさイ,晴,南東,1,1,6,4,3868,尾 形 栄 治,68,42,6.84,4,0.13,,3-1-5,3780,13,3-1,690,3,1-3-5,1140,6,1-3,230,1,,,,,,,
20260805,三国,2,みくにあさガ,晴,南,1,1,1,1,4514,上 條 嘉 嗣,27,38,6.72,1,0.17,1.50.7,1-2-3,290,1,1-2,170,1,1-2-3,180,1,1-2,140,1,,,,,,,
20260805,三国,2,みくにあさガ,晴,南,1,1,2,2,4977,馬 野 耀,12,54,6.80,2,0.12,1.51.2,1-2-3,290,1,1-2,170,1,1-2-3,180,1,1-2,140,1,,,,,,,
20260805,三国,2,みくにあさガ,晴,南,1,1,3,3,4211,村 田 敦,55,23,6.79,3,0.13,1.53.4,1-2-3,290,1,1-2,170,1,1-2-3,180,1,1-2,140,1,,,,,,,
20260805,三国,2,みくにあさガ,晴,南,1,1,4,4,4219,本 岡 勝 利,32,62,6.84,4,0.28,1.54.2,1-2-3,290,1,1-2,170,1,1-2-3,180,1,1-2,140,1,,,,,,,
20260805,三国,2,みくにあさガ,晴,南,1,1,5,5,4896,花 本 剛,21,50,6.84,5,0.28,,1-2-3,290,1,1-2,170,1,1-2-3,180,1,1-2,140,1,,,,,,,
20260805,三国,2,みくにあさガ,晴,南,1,1,6,6,5006,久保原 秀 人,29,41,6.76,6,0.25,,1-2-3,290,1,1-2,170,1,1-2-3,180,1,1-2,140,1,,,,,,,
20260805,三国,3,みくにあさズ,晴,南西,1,1,1,5,5091,為 本 智 也,41,37,6.76,5,0.08,1.51.1,5-1-4,6950,23,5-1,1400,6,1-4-5,1590,5,1-5,360,3,,,,,,,
20260805,三国,3,みくにあさズ,晴,南西,1,1,2,1,4991,宗 行 治 哉,70,34,6.83,1,0.17,1.52.2,5-1-4,6950,23,5-1,1400,6,1-4-5,1590,5,1-5,360,3,,,,,,,
20260805,三国,3,みくにあさズ,晴,南西,1,1,3,4,5169,堀 本 翔 太,22,27,6.79,4,0.07,1.54.2,5-1-4,6950,23,5-1,1400,6,1-4-5,1590,5,1-5,360,3,,,,,,,
20260805,三国,3,みくにあさズ,晴,南西,1,1,4,3,4561,藤 山 翔 大,39,52,6.64,3,0.11,1.54.5,5-1-4,6950,23,5-1,1400,6,1-4-5,1590,5,1-5,360,3,,,,,,,
20260805,三国,3,みくにあさズ,晴,南西,1,1,5,2,5020,宮 村 勇 哉,28,49,6.83,2,0.12,,5-1-4,6950,23,5-1,1400,6,1-4-5,1590,5,1-5,360,3,,,,,,,
20260805,三国,3,みくにあさズ,晴,南西,1,1,6,6,3889,須 藤 隆 雄,37,19,6.83,6,0.11,,5-1-4,6950,23,5-1,1400,6,1-4-5,1590,5,1-5,360,3,,,,,,,
20260805,三国,4,みくにあさ推,晴,北西,2,2,1,1,4134,杉 山 貴 博,63,22,6.69,1,0.13,1.48.9,1-2-3,3230,11,1-2,1470,5,1-2-3,550,2,1-2,1430,4,,,,,,,
20260805,三国,4,みくにあさ推,晴,北西,2,2,2,2,5369,岡 崎 凪 汰,36,39,6.74,2,0.16,1.52.0,1-2-3,3230,11,1-2,1470,5,1-2-3,550,2,1-2,1430,4,,,,,,,
20260805,三国,4,みくにあさ推,晴,北西,2,2,3,3,4688,永 井 彪 也,13,45,6.80,3,0.17,1.52.9,1-2-3,3230,11,1-2,1470,5,1-2-3,550,2,1-2,1430,4,,,,,,,
20260805,三国,4,みくにあさ推,晴,北西,2,2,4,5,5166,仲 道 大 輔,50,32,6.73,5,0.13,1.54.5,1-2-3,3230,11,1-2,1470,5,1-2-3,550,2,1-2,1430,4,,,,,,,
20260805,三国,4,みくにあさ推,晴,北西,2,2,5,4,4226,村 田 浩 司,67,59,6.81,4,0.17,,1-2-3,3230,11,1-2,1470,5,1-2-3,550,2,1-2,1430,4,,,,,,,
20260805,三国,4,みくにあさ推,晴,北西,2,2,6,6,3745,橋 本 年 光,56,29,6.78,6,0.17,,1-2-3,3230,11,1-2,1470,5,1-2-3,550,2,1-2,1430,4,,,,,,,
20260805,三国,5,予選,晴,北西,3,3,1,1,4049,荒 川 健 太,69,51,6.92,1,0.04,1.50.9,1-2-6,3360,13,1-2,520,2,1-2-6,1970,7,1-2,340,2,,,,,,,
