date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20260507,三国,1,みくにあさイ,晴,南東,3,3,1,1,5038,金 田 智 博,55,26,6.61,1,0.21,1.50.3,1-2-5,380,1,1-2,190,1,1-2-5,280,1,1-2,130,1,,,,,,,
20260507,三国,1,みくにあさイ,晴,南東,3,3,2,2,3620,信 濃 由 行,19,61,6.72,2,0.19,1.51.7,1-2-5,380,1,1-2,190,1,1-2-5,280,1,1-2,130,1,,,,,,,
20260507,三国,1,みくにあさイ,晴,南東,3,3,3,5,3922,菅 沼 佳 昭,47,45,6.65,5,0.18,1.53.4,1-2-5,380,1,1-2,190,1,1-2-5,280,1,1-2,130,1,,,,,,,
20260507,三国,1,みくにあさイ,晴,南東,3,3,4,3,5355,萩 原 丈太朗,64,25,6.74,3,0.26,1.54.5,1-2-5,380,1,1-2,190,1,1-2-5,280,1,1-2,130,1,,,,,,,
20260507,三国,1,みくにあさイ,晴,南東,3,3,5,4,5251,沼 田 七 華,40,40,6.71,4,0.16,,1-2-5,380,1,1-2,190,1,1-2-5,280,1,1-2,130,1,,,,,,,
20260507,三国,1,みくにあさイ,晴,南東,3,3,6,6,5366,塩 嶋 泰 空,48,66,6.64,6,0.14,,1-2-5,380,1,1-2,190,1,1-2-5,280,1,1-2,130,1,,,,,,,
20260507,三国,2,みくにあさガ,晴,南東,2,2,1,1,4469,土 山 卓 也,18,52,6.63,1,0.08,1.49.6,1-6-2,2210,8,1-6,970,4,1-2-6,380,2,1-6,1190,3,,,,,,,
20260507,三国,2,みくにあさガ,晴,南東,2,2,2,6,4664,東 口 晃,24,63,6.65,5,0.23,1.50.5,1-6-2,2210,8,1-6,970,4,1-2-6,380,2,1-6,1190,3,,,,,,,
20260507,三国,2,みくにあさガ,晴,南東,2,2,3,2,4298,宮 下 元 胤,60,33,6.70,2,0.12,1.51.7,1-6-2,2210,8,1-6,970,4,1-2-6,380,2,1-6,1190,3,,,,,,,
20260507,三国,2,みくにあさガ,晴,南東,2,2,4,3,4735,角 山 雄 哉,14,49,6.66,3,0.14,1.51.8,1-6-2,2210,8,1-6,970,4,1-2-6,380,2,1-6,1190,3,,,,,,,
20260507,三国,2,みくにあさガ,晴,南東,2,2,5,4,5187,小 坂 風 太,16,15,6.69,4,0.16,,1-6-2,2210,8,1-6,970,4,1-2-6,380,2,1-6,1190,3,,,,,,,
20260507,三国,2,みくにあさガ,晴,南東,2,2,6,5,5465,直 江 健 成,52,36,6.67,6,0.19,,1-6-2,2210,8,1-6,970,4,1-2-6,380,2,1-6,1190,3,,,,,,,
20260507,三国,3,みくにあさズ,晴,南東,1,1,1,1,3833,中 辻 博 訓,23,16,6.70,1,0.07,1.48.1,1-4-6,1340,3,1-4,420,2,1-4-6,420,2,1-4,410,2,,,,,,,
20260507,三国,3,みくにあさズ,晴,南東,1,1,2,4,4365,盛 本 真 輔,53,22,6.59,4,0.09,1.50.9,1-4-6,1340,3,1-4,420,2,1-4-6,420,2,1-4,410,2,,,,,,,
20260507,三国,3,みくにあさズ,晴,南東,1,1,3,6,4692,酒 井 俊 弘,42,39,6.47,6,0.19,1.52.2,1-4-6,1340,3,1-4,420,2,1-4-6,420,2,1-4,410,2,,,,,,,
20260507,三国,3,みくにあさズ,晴,南東,1,1,4,3,3548,室 田 泰 史,37,50,6.71,3,0.15,1.53.3,1-4-6,1340,3,1-4,420,2,1-4-6,420,2,1-4,410,2,,,,,,,
20260507,三国,3,みくにあさズ,晴,南東,1,1,5,5,5156,坂 野 さくら,32,27,6.66,5,0.11,,1-4-6,1340,3,1-4,420,2,1-4-6,420,2,1-4,410,2,,,,,,,
20260507,三国,3,みくにあさズ,晴,南東,1,1,6,2,4176,樋 口 喜 彦,70,29,6.76,2,0.11,,1-4-6,1340,3,1-4,420,2,1-4-6,420,2,1-4,410,2,,,,,,,
20260507,三国,4,みくにあさ推,晴,西,2,2,1,1,4470,平 田 健之佑,20,55,6.75,1,0.08,1.49.2,1-3-5,1530,7,1-3,600,4,1-3-5,1190,6,1-3,420,2,,,,,,,
20260507,三国,4,みくにあさ推,晴,西,2,2,2,3,3891,谷 口 健 一,33,20,6.79,3,0.12,1.51.8,1-3-5,1530,7,1-3,600,4,1-3-5,1190,6,1-3,420,2,,,,,,,
20260507,三国,4,みくにあさ推,晴,西,2,2,3,5,4930,佐 藤 悠,15,34,6.71,5,0.09,1.52.6,1-3-5,1530,7,1-3,600,4,1-3-5,1190,6,1-3,420,2,,,,,,,
20260507,三国,4,みくにあさ推,晴,西,2,2,4,2,4400,加 藤 奈 月,25,46,6.73,2,0.09,1.53.9,1-3-5,1530,7,1-3,600,4,1-3-5,1190,6,1-3,420,2,,,,,,,
20260507,三国,4,みくにあさ推,晴,西,2,2,5,4,4711,前 出 達 吉,49,19,6.81,4,0.09,,1-3-5,1530,7,1-3,600,4,1-3-5,1190,6,1-3,420,2,,,,,,,
20260507,三国,4,みくにあさ推,晴,西,2,2,6,6,3439,大 平 誉史明,41,60,6.83,6,0.11,,1-3-5,1530,7,1-3,600,4,1-3-5,1190,6,1-3,420,2,,,,,,,
20260507,三国,5,一般,晴,西,1,1,1,3,4139,丹 下 健,36,48,6.71,3,0.17,1.49.0,3-1-4,5240,16,3-1,2160,6,1-3-4,290,2,1-3,320,3,,,,,,,
20260507,三国,5,一般,晴,西,1,1,2,1,4415,下 出 卓 矢,63,58,6.67,1,0.15,1.51.3,3-1-4,5240,16,3-1,2160,6,1-3-4,290,2,1-3,320,3,,,,,,,
20260507,三国,5,一般,晴,西,1,1,3,4,4161,黒 柳 浩 孝,28,42,6.74,4,0.18,1.52.9,3-1-4,5240,16,3-1,2160,6,1-3-4,290,2,1-3,320,3,,,,,,,
20260507,三国,5,一般,晴,西,1,1,4,5,5114,小 林 孝 彰,51,62,6.70,5,0.15,1.53.7,3-1-4,5240,16,3-1,2160,6,1-3-4,290,2,1-3,320,3,,,,,,,
20260507,三国,5,一般,晴,西,1,1,5,6,3370,坪 内 実,61,38,6.71,6,0.18,,3-1-4,5240,16,3-1,2160,6,1-3-4,290,2,1-3,320,3,,,,,,,
20260507,三国,5,一般,晴,西,1,1,6,2,5355,萩 原 丈太朗,64,25,6.83,2,0.21,,3-1-4,5240,16,3-1,2160,6,1-3-4,290,2,1-3,320,3,,,,,,,
20260507,三国,6,一般,晴,西,1,1,1,6,5038,金 田 智 博,55,26,6.60,6,0.13,1.58.0,6-2-4,33800,88,6-2,6350,21,2-4-6,7900,18,2-6,2190,10,,,,,,,
20260507,三国,6,一般,晴,西,1,1,2,2,4876,梅 木 敬 太,50,31,6.77,2,0.14,2.02.3,6-2-4,33800,88,6-2,6350,21,2-4-6,7900,18,2-6,2190,10,,,,,,,
20260507,三国,6,一般,晴,西,1,1,3,4,4735,角 山 雄 哉,14,49,6.77,5,0.11,2.05.5,6-2-4,33800,88,6-2,6350,21,2-4-6,7900,18,2-6,2190,10,,,,,,,
20260507,三国,6,一般,晴,西,1,1,4,3,4666,日 笠 勝 弘,12,56,6.72,3,0.14,2.08.9,6-2-4,33800,88,6-2,6350,21,2-4-6,7900,18,2-6,2190,10,,,,,,,
20260507,三国,7,一般,晴,北西,2,2,1,4,5185,加 藤 優 弥,17,70,6.77,4,0.02,1.48.8,4-1-2,2140,6,4-1,1510,4,1-2-4,160,1,1-4,280,2,,,,,,,
20260507,三国,7,一般,晴,北西,2,2,2,1,5091,為 本 智 也,57,67,6.78,1,0.11,1.50.9,4-1-2,2140,6,4-1,1510,4,1-2-4,160,1,1-4,280,2,,,,,,,
20260507,三国,7,一般,晴,北西,2,2,3,2,3814,金 子 貴 志,45,17,6.78,2,0.33,1.52.3,4-1-2,2140,6,4-1,1510,4,1-2-4,160,1,1-4,280,2,,,,,,,
20260507,三国,7,一般,晴,北西,2,2,4,5,4176,樋 口 喜 彦,70,29,6.80,5,0.11,1.54.0,4-1-2,2140,6,4-1,1510,4,1-2-4,160,1,1-4,280,2,,,,,,,
20260507,三国,7,一般,晴,北西,2,2,5,3,5251,沼 田 七 華,40,40,6.76,3,0.06,,4-1-2,2140,6,4-1,1510,4,1-2-4,160,1,1-4,280,2,,,,,,,
20260507,三国,7,一般,晴,北西,2,2,6,6,5465,直 江 健 成,52,36,6.76,6,0.02,,4-1-2,2140,6,4-1,1510,4,1-2-4,160,1,1-4,280,2,,,,,,,
20260507,三国,8,一般,晴,西,2,2,1,3,4365,盛 本 真 輔,53,22,6.70,3,0.14,1.50.7,3-6-1,5710,26,3-6,2650,11,1-3-6,640,3,3-6,1690,8,,,,,,,
20260507,三国,8,一般,晴,西,2,2,2,6,4470,平 田 健之佑,20,55,6.82,6,0.13,1.51.5,3-6-1,5710,26,3-6,2650,11,1-3-6,640,3,3-6,1690,8,,,,,,,
20260507,三国,8,一般,晴,西,2,2,3,1,4664,東 口 晃,24,63,6.73,1,0.32,1.53.0,3-6-1,5710,26,3-6,2650,11,1-3-6,640,3,3-6,1690,8,,,,,,,
20260507,三国,8,一般,晴,西,2,2,4,5,4469,土 山 卓 也,18,52,6.77,5,0.13,1.53.3,3-6-1,5710,26,3-6,2650,11,1-3-6,640,3,3-6,1690,8,,,,,,,
20260507,三国,8,一般,晴,西,2,2,5,2,5156,坂 野 さくら,32,27,6.73,2,0.18,,3-6-1,5710,26,3-6,2650,11,1-3-6,640,3,3-6,1690,8,,,,,,,
20260507,三国,8,一般,晴,西,2,2,6,4,5366,塩 嶋 泰 空,48,66,6.74,4,0.13,,3-6-1,5710,26,3-6,2650,11,1-3-6,640,3,3-6,1690,8,,,,,,,
