date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20251003,びわこ,1,予選,曇り,北東,2,2,1,1,5157,市 川 健 太,73,40,6.80,1,0.16,1.49.4,1-4-6,23050,54,1-4,1600,5,1-4-6,9100,13,1-4,1640,5,,,,,,,
20251003,びわこ,1,予選,曇り,北東,2,2,2,4,5101,表 健 太,37,37,6.75,4,0.20,1.53.0,1-4-6,23050,54,1-4,1600,5,1-4-6,9100,13,1-4,1640,5,,,,,,,
20251003,びわこ,1,予選,曇り,北東,2,2,3,6,5379,廣 部 大 明,69,35,6.80,6,0.21,1.53.3,1-4-6,23050,54,1-4,1600,5,1-4-6,9100,13,1-4,1640,5,,,,,,,
20251003,びわこ,1,予選,曇り,北東,2,2,4,2,5130,上 野 拓 馬,72,12,6.75,2,0.18,1.53.7,1-4-6,23050,54,1-4,1600,5,1-4-6,9100,13,1-4,1640,5,,,,,,,
20251003,びわこ,1,予選,曇り,北東,2,2,5,3,5172,田 村 慶,43,41,6.71,3,0.19,,1-4-6,23050,54,1-4,1600,5,1-4-6,9100,13,1-4,1640,5,,,,,,,
20251003,びわこ,1,予選,曇り,北東,2,2,6,5,5207,高 山 敬 悟,51,59,6.64,5,0.15,,1-4-6,23050,54,1-4,1600,5,1-4-6,9100,13,1-4,1640,5,,,,,,,
20251003,びわこ,2,予選,曇り,北東,3,3,1,2,5303,土 井 歩 夢,46,46,6.81,2,0.17,1.49.8,2-1-3,5020,21,2-1,2210,14,1-2-3,520,1,1-2,910,6,,,,,,,
20251003,びわこ,2,予選,曇り,北東,3,3,2,1,5178,成 貞 琳 平,52,31,6.79,1,0.16,1.51.0,2-1-3,5020,21,2-1,2210,14,1-2-3,520,1,1-2,910,6,,,,,,,
20251003,びわこ,2,予選,曇り,北東,3,3,3,3,5136,濱 野 斗 馬,56,36,6.80,3,0.19,1.52.9,2-1-3,5020,21,2-1,2210,14,1-2-3,520,1,1-2,910,6,,,,,,,
20251003,びわこ,2,予選,曇り,北東,3,3,4,5,5280,廣 瀬 凜,58,28,6.73,5,0.18,1.53.9,2-1-3,5020,21,2-1,2210,14,1-2-3,520,1,1-2,910,6,,,,,,,
