date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20250805,三国,1,一般,晴,西,2,2,1,1,4848,仲 谷 颯 仁,19,11,6.86,1,0.08,1.49.7,1-3-2,1190,3,1-3,300,1,1-2-3,340,1,1-3,230,1,,,,,,,
20250805,三国,1,一般,晴,西,2,2,2,3,4166,吉 田 拡 郎,33,44,6.83,3,0.12,1.51.3,1-3-2,1190,3,1-3,300,1,1-2-3,340,1,1-3,230,1,,,,,,,
20250805,三国,1,一般,晴,西,2,2,3,2,3654,武 田 光 史,29,56,6.85,2,0.14,1.52.7,1-3-2,1190,3,1-3,300,1,1-2-3,340,1,1-3,230,1,,,,,,,
20250805,三国,1,一般,晴,西,2,2,4,4,4024,井 口 佳 典,36,13,6.81,4,0.08,1.54.4,1-3-2,1190,3,1-3,300,1,1-2-3,340,1,1-3,230,1,,,,,,,
20250805,三国,1,一般,晴,西,2,2,5,5,4472,尾 嶋 一 広,17,72,6.71,5,0.13,,1-3-2,1190,3,1-3,300,1,1-2-3,340,1,1-3,230,1,,,,,,,
20250805,三国,1,一般,晴,西,2,2,6,6,4415,下 出 卓 矢,45,45,6.71,6,0.07,,1-3-2,1190,3,1-3,300,1,1-2-3,340,1,1-3,230,1,,,,,,,
20250805,三国,2,一般,晴,西,2,2,1,3,4205,山 口 剛,32,38,6.80,3,0.11,1.49.5,3-1-5,8210,25,3-1,1220,5,1-3-5,1980,8,1-3,280,2,,,,,,,
20250805,三国,2,一般,晴,西,2,2,2,1,3388,今 垣 光太郎,64,60,6.87,1,0.13,1.52.0,3-1-5,8210,25,3-1,1220,5,1-3-5,1980,8,1-3,280,2,,,,,,,
20250805,三国,2,一般,晴,西,2,2,3,5,4659,木 下 翔 太,65,68,6.85,5,0.11,1.53.0,3-1-5,8210,25,3-1,1220,5,1-3-5,1980,8,1-3,280,2,,,,,,,
20250805,三国,2,一般,晴,西,2,2,4,4,4446,和 田 兼 輔,27,16,6.76,4,0.09,1.54.9,3-1-5,8210,25,3-1,1220,5,1-3-5,1980,8,1-3,280,2,,,,,,,
20250805,三国,2,一般,晴,西,2,2,5,6,4686,丸 野 一 樹,26,20,6.75,6,0.07,,3-1-5,8210,25,3-1,1220,5,1-3-5,1980,8,1-3,280,2,,,,,,,
20250805,三国,2,一般,晴,西,2,2,6,2,4537,渡 邉 和 将,12,41,6.73,2,0.08,,3-1-5,8210,25,3-1,1220,5,1-3-5,1980,8,1-3,280,2,,,,,,,
20250805,三国,3,一般,晴,西,2,2,1,2,4391,松 田 祐 季,28,70,6.81,2,0.08,1.50.7,2-1-3,2380,8,2-1,1140,4,1-2-3,310,1,1-2,270,2,,,,,,,
20250805,三国,3,一般,晴,西,2,2,2,1,3719,辻 栄 蔵,46,51,6.82,1,0.13,1.51.7,2-1-3,2380,8,2-1,1140,4,1-2-3,310,1,1-2,270,2,,,,,,,
20250805,三国,3,一般,晴,西,2,2,3,3,4371,西 山 貴 浩,21,42,6.86,3,0.10,1.53.2,2-1-3,2380,8,2-1,1140,4,1-2-3,310,1,1-2,270,2,,,,,,,
20250805,三国,3,一般,晴,西,2,2,4,5,5221,竹 間 隆 晟,15,49,6.84,4,0.06,1.53.7,2-1-3,2380,8,2-1,1140,4,1-2-3,310,1,1-2,270,2,,,,,,,
20250805,三国,3,一般,晴,西,2,2,5,6,4337,平 本 真 之,51,65,6.69,5,0.03,,2-1-3,2380,8,2-1,1140,4,1-2-3,310,1,1-2,270,2,,,,,,,
20250805,三国,3,一般,晴,西,2,2,6,4,5017,澤 田 尚 也,57,53,6.86,6,0.03,,2-1-3,2380,8,2-1,1140,4,1-2-3,310,1,1-2,270,2,,,,,,,
20250805,三国,4,一般,晴,西,2,2,1,1,3941,池 田 浩 二,66,30,6.74,1,0.14,1.50.5,1-5-2,1820,9,1-5,610,3,1-2-5,620,3,1-5,790,3,,,,,,,
20250805,三国,4,一般,晴,西,2,2,2,5,4061,萩 原 秀 人,63,34,6.87,5,0.15,1.51.6,1-5-2,1820,9,1-5,610,3,1-2-5,620,3,1-5,790,3,,,,,,,
20250805,三国,4,一般,晴,西,2,2,3,2,3415,松 井 繁,48,54,6.82,2,0.19,1.52.8,1-5-2,1820,9,1-5,610,3,1-2-5,620,3,1-5,790,3,,,,,,,
20250805,三国,4,一般,晴,西,2,2,4,4,4831,羽 野 直 也,52,14,7.00,4,0.19,1.53.9,1-5-2,1820,9,1-5,610,3,1-2-5,620,3,1-5,790,3,,,,,,,
20250805,三国,4,一般,晴,西,2,2,5,6,4013,中 島 孝 平,31,33,6.88,6,0.16,,1-5-2,1820,9,1-5,610,3,1-2-5,620,3,1-5,790,3,,,,,,,
20250805,三国,4,一般,晴,西,2,2,6,3,4688,永 井 彪 也,49,59,6.87,3,0.16,,1-5-2,1820,9,1-5,610,3,1-2-5,620,3,1-5,790,3,,,,,,,
20250805,三国,5,一般,晴,西,2,2,1,1,4856,豊 田 健士郎,24,69,6.71,1,0.20,1.49.8,1-6-2,6470,18,1-6,1930,5,1-2-6,1460,9,1-6,1870,5,,,,,,,
