date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20250808,丸亀,1,一般,曇り,西,3,3,1,1,3907,村 越 篤,31,33,6.92,1,0.13,1.51.6,1-5-2,3850,10,1-5,810,4,1-2-5,700,5,1-5,780,4,,,,,,,
20250808,丸亀,1,一般,曇り,西,3,3,2,5,3319,山 崎 義 明,61,28,7.06,5,0.17,1.52.4,1-5-2,3850,10,1-5,810,4,1-2-5,700,5,1-5,780,4,,,,,,,
20250808,丸亀,1,一般,曇り,西,3,3,3,2,4485,楠 原 正 剛,50,15,6.98,2,0.08,1.54.4,1-5-2,3850,10,1-5,810,4,1-2-5,700,5,1-5,780,4,,,,,,,
20250808,丸亀,1,一般,曇り,西,3,3,4,3,4367,山 口 修 路,17,9,6.90,3,0.11,1.54.5,1-5-2,3850,10,1-5,810,4,1-2-5,700,5,1-5,780,4,,,,,,,
20250808,丸亀,1,一般,曇り,西,3,3,5,6,3776,横 井 健 太,54,50,7.06,6,0.18,1.55.9,1-5-2,3850,10,1-5,810,4,1-2-5,700,5,1-5,780,4,,,,,,,
20250808,丸亀,1,一般,曇り,西,3,3,6,4,5047,國 分 将太郎,47,52,6.98,4,0.14,1.57.5,1-5-2,3850,10,1-5,810,4,1-2-5,700,5,1-5,780,4,,,,,,,
20250808,丸亀,2,一般,曇り,西,4,4,1,4,4300,加 藤 綾,58,45,6.93,4,0.23,1.54.1,4-6-3,34070,75,4-6,10760,21,3-4-6,3390,14,4-6,6330,12,,,,,,,
20250808,丸亀,2,一般,曇り,西,4,4,2,6,4778,堤 啓 輔,55,38,6.97,6,0.29,1.58.0,4-6-3,34070,75,4-6,10760,21,3-4-6,3390,14,4-6,6330,12,,,,,,,
20250808,丸亀,2,一般,曇り,西,4,4,3,3,5041,荒 牧 凪 沙,43,14,6.91,3,0.22,1.59.5,4-6-3,34070,75,4-6,10760,21,3-4-6,3390,14,4-6,6330,12,,,,,,,
20250808,丸亀,2,一般,曇り,西,4,4,4,2,3660,長谷川 親 王,4,51,6.94,2,0.26,2.02.1,4-6-3,34070,75,4-6,10760,21,3-4-6,3390,14,4-6,6330,12,,,,,,,
20250808,丸亀,2,一般,曇り,西,4,4,5,1,5155,内 山 七 海,1,24,6.85,1,0.36,2.04.4,4-6-3,34070,75,4-6,10760,21,3-4-6,3390,14,4-6,6330,12,,,,,,,
20250808,丸亀,2,一般,曇り,西,4,4,S1,5,4978,山 田 和 佐,37,40,6.94,5,0.25,,4-6-3,34070,75,4-6,10760,21,3-4-6,3390,14,4-6,6330,12,,,,,,,
20250808,丸亀,3,一般,雨,西,5,5,1,1,3535,渡 修 平,8,22,6.90,1,0.11,1.52.7,1-2-5,2440,8,1-2,620,2,1-2-5,1190,7,1-2,1310,4,,,,,,,
20250808,丸亀,3,一般,雨,西,5,5,2,2,4905,土 井 祥 伍,19,27,6.94,2,0.11,1.53.0,1-2-5,2440,8,1-2,620,2,1-2-5,1190,7,1-2,1310,4,,,,,,,
20250808,丸亀,3,一般,雨,西,5,5,3,5,5317,長 尾 萌 加,18,23,6.91,5,0.15,1.54.2,1-2-5,2440,8,1-2,620,2,1-2-5,1190,7,1-2,1310,4,,,,,,,
20250808,丸亀,3,一般,雨,西,5,5,4,4,3882,新 田 智 彰,11,36,6.86,4,0.22,1.55.6,1-2-5,2440,8,1-2,620,2,1-2-5,1190,7,1-2,1310,4,,,,,,,
20250808,丸亀,3,一般,雨,西,5,5,5,3,4154,森 安 弘 雅,53,54,6.89,3,0.10,1.56.8,1-2-5,2440,8,1-2,620,2,1-2-5,1190,7,1-2,1310,4,,,,,,,
20250808,丸亀,3,一般,雨,西,5,5,6,6,5340,樋江井 舞,21,48,6.94,6,0.18,1.58.2,1-2-5,2440,8,1-2,620,2,1-2-5,1190,7,1-2,1310,4,,,,,,,
20250808,丸亀,4,一般,晴,西,5,5,1,1,4470,平 田 健之佑,14,34,6.89,1,0.11,1.51.2,1-2-4,1350,5,1-2,600,3,1-2-4,550,3,1-2,470,3,,,,,,,
20250808,丸亀,4,一般,晴,西,5,5,2,2,4106,坂 井 康 嗣,5,10,6.95,2,0.12,1.53.1,1-2-4,1350,5,1-2,600,3,1-2-4,550,3,1-2,470,3,,,,,,,
20250808,丸亀,4,一般,晴,西,5,5,3,4,3572,安 田 政 彦,49,13,6.99,4,0.23,1.54.5,1-2-4,1350,5,1-2,600,3,1-2-4,550,3,1-2,470,3,,,,,,,
20250808,丸亀,4,一般,晴,西,5,5,4,3,5012,加 倉 侑 征,28,43,6.97,3,0.07,1.55.0,1-2-4,1350,5,1-2,600,3,1-2-4,550,3,1-2,470,3,,,,,,,
20250808,丸亀,4,一般,晴,西,5,5,5,5,3305,小 野 信 樹,64,30,6.99,5,0.14,1.55.6,1-2-4,1350,5,1-2,600,3,1-2-4,550,3,1-2,470,3,,,,,,,
20250808,丸亀,4,一般,晴,西,5,5,6,6,5078,山 川 波 乙,25,21,6.96,6,0.19,1.57.4,1-2-4,1350,5,1-2,600,3,1-2-4,550,3,1-2,470,3,,,,,,,
20250808,丸亀,5,一般,晴,南西,4,4,1,1,4466,南 佑 典,10,31,6.91,1,0.19,1.50.5,1-2-5,1240,2,1-2,550,3,1-2-5,530,2,1-2,390,2,,,,,,,
20250808,丸亀,5,一般,晴,南西,4,4,2,2,5299,西 丸 敦 基,6,29,6.94,2,0.10,1.51.8,1-2-5,1240,2,1-2,550,3,1-2-5,530,2,1-2,390,2,,,,,,,
20250808,丸亀,5,一般,晴,南西,4,4,3,5,4903,吉 田 凌太朗,59,16,6.99,6,0.01,1.52.8,1-2-5,1240,2,1-2,550,3,1-2-5,530,2,1-2,390,2,,,,,,,
20250808,丸亀,5,一般,晴,南西,4,4,4,3,4485,楠 原 正 剛,50,15,7.05,3,0.01,1.53.7,1-2-5,1240,2,1-2,550,3,1-2-5,530,2,1-2,390,2,,,,,,,
20250808,丸亀,5,一般,晴,南西,4,4,5,4,4367,山 口 修 路,17,9,6.91,4,0.07,1.55.9,1-2-5,1240,2,1-2,550,3,1-2-5,530,2,1-2,390,2,,,,,,,
20250808,丸亀,5,一般,晴,南西,4,4,6,6,4292,麻 生 慎 介,66,18,7.01,5,0.06,1.56.5,1-2-5,1240,2,1-2,550,3,1-2-5,530,2,1-2,390,2,,,,,,,
20250808,丸亀,6,かけうどん６,晴,西,3,3,1,1,4089,妹 尾 忠 幸,20,19,6.94,1,0.09,1.50.6,1-2-3,810,3,1-2,470,2,1-2-3,230,1,1-2,230,1,,,,,,,
20250808,丸亀,6,かけうどん６,晴,西,3,3,2,2,4764,小 池 礼 乃,23,26,6.98,2,0.13,1.51.8,1-2-3,810,3,1-2,470,2,1-2-3,230,1,1-2,230,1,,,,,,,
20250808,丸亀,6,かけうどん６,晴,西,3,3,3,3,4434,田 中 辰 彦,27,17,6.93,3,0.12,1.53.3,1-2-3,810,3,1-2,470,2,1-2-3,230,1,1-2,230,1,,,,,,,
20250808,丸亀,6,かけうどん６,晴,西,3,3,4,4,4389,伊 藤 喜 智,16,32,6.94,4,0.19,1.53.8,1-2-3,810,3,1-2,470,2,1-2-3,230,1,1-2,230,1,,,,,,,
