date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20260513,下関,1,予選,晴,15,4,4,1,1,5336,瀬川　　大地,,,,,,1.503,1-2-3,2080,6,1-2,790,3,1-2-3,880,4,1-2,320,1
20260513,下関,1,予選,晴,15,4,4,2,2,5343,小林　　礼央,,,,,,1.521,1-2-3,2080,6,1-2,790,3,1-2-3,880,4,1-2,320,1
20260513,下関,1,予選,晴,15,4,4,3,3,5178,成貞　　琳平,,,,,,1.538,1-2-3,2080,6,1-2,790,3,1-2-3,880,4,1-2,320,1
20260513,下関,1,予選,晴,15,4,4,4,4,5244,黒田　　　剛,,,,,,1.547,1-2-3,2080,6,1-2,790,3,1-2-3,880,4,1-2,320,1
20260513,下関,1,予選,晴,15,4,4,5,6,5271,杉山　　太陽,,,,,,,1-2-3,2080,6,1-2,790,3,1-2-3,880,4,1-2,320,1
20260513,下関,1,予選,晴,15,4,4,6,5,5125,高井　　雄基,,,,,,,1-2-3,2080,6,1-2,790,3,1-2-3,880,4,1-2,320,1
20260513,下関,2,予選,晴,15,4,4,1,1,5351,齊藤　　　廉,,,,,,2.007,1-5-6,3610,11,1-5,1810,7,1-5-6,920,5,1-5,1310,7
20260513,下関,2,予選,晴,15,4,4,2,5,5127,沼田　　大都,,,,,,2.033,1-5-6,3610,11,1-5,1810,7,1-5-6,920,5,1-5,1310,7
20260513,下関,2,予選,晴,15,4,4,3,6,5330,安河内鈴之介,,,,,,2.050,1-5-6,3610,11,1-5,1810,7,1-5-6,920,5,1-5,1310,7
20260513,下関,2,予選,晴,15,4,4,4,3,5214,田中　　宏典,,,,,,2.078,1-5-6,3610,11,1-5,1810,7,1-5-6,920,5,1-5,1310,7
20260513,下関,2,予選,晴,15,4,4,5,2,5313,鈴木　　唯央,,,,,,,1-5-6,3610,11,1-5,1810,7,1-5-6,920,5,1-5,1310,7
20260513,下関,3,予選,晴,15,4,4,1,5,5034,若林　　義人,,,,,,1.500,5-4-2,3650,16,5-4,1240,6,2-4-5,700,4,4-5,590,4
20260513,下関,3,予選,晴,15,4,4,2,4,5212,西川　　拓利,,,,,,1.513,5-4-2,3650,16,5-4,1240,6,2-4-5,700,4,4-5,590,4
20260513,下関,3,予選,晴,15,4,4,3,2,5325,澁川　　　夏,,,,,,1.531,5-4-2,3650,16,5-4,1240,6,2-4-5,700,4,4-5,590,4
20260513,下関,3,予選,晴,15,4,4,4,6,5382,山下　　心一,,,,,,1.545,5-4-2,3650,16,5-4,1240,6,2-4-5,700,4,4-5,590,4
20260513,下関,3,予選,晴,15,4,4,5,1,5270,小玉　　啓太,,,,,,,5-4-2,3650,16,5-4,1240,6,2-4-5,700,4,4-5,590,4
20260513,下関,3,予選,晴,15,4,4,6,3,5130,上野　　拓馬,,,,,,,5-4-2,3650,16,5-4,1240,6,2-4-5,700,4,4-5,590,4
20260513,下関,4,予選,晴,15,3,3,1,1,5273,山下　　拓巳,,,,,,1.492,1-3-2,1550,4,1-3,440,1,1-2-3,610,2,1-3,340,1
20260513,下関,4,予選,晴,15,3,3,2,3,5222,津田　　陸翔,,,,,,1.503,1-3-2,1550,4,1-3,440,1,1-2-3,610,2,1-3,340,1
20260513,下関,4,予選,晴,15,3,3,3,2,5137,川原　　　涼,,,,,,1.521,1-3-2,1550,4,1-3,440,1,1-2-3,610,2,1-3,340,1
20260513,下関,4,予選,晴,15,3,3,4,5,5132,中野　　希一,,,,,,1.532,1-3-2,1550,4,1-3,440,1,1-2-3,610,2,1-3,340,1
20260513,下関,4,予選,晴,15,3,3,5,4,5377,鳥居塚　嶺王,,,,,,,1-3-2,1550,4,1-3,440,1,1-2-3,610,2,1-3,340,1
20260513,下関,4,予選,晴,15,3,3,6,6,5328,井上　　慧人,,,,,,,1-3-2,1550,4,1-3,440,1,1-2-3,610,2,1-3,340,1
20260513,下関,5,予選,晴,15,3,3,1,2,5185,加藤　　優弥,,,,,,1.493,2-1-5,23270,27,2-1,2990,6,1-2-5,1490,5,1-2,240,2
20260513,下関,5,予選,晴,15,3,3,2,1,5016,宮田　　龍馬,,,,,,1.515,2-1-5,23270,27,2-1,2990,6,1-2-5,1490,5,1-2,240,2
20260513,下関,5,予選,晴,15,3,3,3,5,5190,大月　　遊雅,,,,,,1.534,2-1-5,23270,27,2-1,2990,6,1-2-5,1490,5,1-2,240,2
20260513,下関,5,予選,晴,15,3,3,4,3,5216,長谷川　晴哉,,,,,,1.551,2-1-5,23270,27,2-1,2990,6,1-2-5,1490,5,1-2,240,2
20260513,下関,5,予選,晴,15,3,3,5,4,5131,江藤　　敦宏,,,,,,,2-1-5,23270,27,2-1,2990,6,1-2-5,1490,5,1-2,240,2
20260513,下関,5,予選,晴,15,3,3,6,6,5404,内田　　　壮,,,,,,,2-1-5,23270,27,2-1,2990,6,1-2-5,1490,5,1-2,240,2
20260513,下関,6,予選,晴,1,2,2,1,2,5221,竹間　　隆晟,,,,,,1.492,2-3-4,1260,6,2-3,990,4,2-3-4,280,2,2-3,530,3
20260513,下関,6,予選,晴,1,2,2,2,3,5266,石田　　勇斗,,,,,,1.508,2-3-4,1260,6,2-3,990,4,2-3-4,280,2,2-3,530,3
20260513,下関,6,予選,晴,1,2,2,3,4,5220,青木　　　蓮,,,,,,1.528,2-3-4,1260,6,2-3,990,4,2-3-4,280,2,2-3,530,3
20260513,下関,6,予選,晴,1,2,2,4,6,5187,小坂　　風太,,,,,,1.539,2-3-4,1260,6,2-3,990,4,2-3-4,280,2,2-3,530,3
20260513,下関,6,予選,晴,1,2,2,5,5,5263,花田　　凱成,,,,,,,2-3-4,1260,6,2-3,990,4,2-3-4,280,2,2-3,530,3
20260513,下関,7,ふく〜る特賞,晴,1,2,2,1,1,5178,成貞　　琳平,,,,,,1.495,1-3-5,1500,5,1-3,570,3,1-3-5,370,1,1-3,220,1
20260513,下関,7,ふく〜る特賞,晴,1,2,2,2,3,5018,竹下　　大樹,,,,,,1.496,1-3-5,1500,5,1-3,570,3,1-3-5,370,1,1-3,220,1
20260513,下関,7,ふく〜る特賞,晴,1,2,2,3,5,5114,小林　　孝彰,,,,,,1.523,1-3-5,1500,5,1-3,570,3,1-3-5,370,1,1-3,220,1
20260513,下関,7,ふく〜る特賞,晴,1,2,2,4,4,5133,堀越　　雄貴,,,,,,1.540,1-3-5,1500,5,1-3,570,3,1-3-5,370,1,1-3,220,1
20260513,下関,7,ふく〜る特賞,晴,1,2,2,5,6,5375,庄島　　潤成,,,,,,,1-3-5,1500,5,1-3,570,3,1-3-5,370,1,1-3,220,1
20260513,下関,7,ふく〜る特賞,晴,1,2,2,6,2,5332,村松　　遥輝,,,,,,,1-3-5,1500,5,1-3,570,3,1-3-5,370,1,1-3,220,1
20260513,下関,8,予選,晴,1,1,1,1,1,5145,島川　　海輝,,,,,,1.501,1-2-5,1070,4,1-2,300,2,1-2-5,390,2,1-2,250,1
20260513,下関,8,予選,晴,1,1,1,2,2,5271,杉山　　太陽,,,,,,1.515,1-2-5,1070,4,1-2,300,2,1-2-5,390,2,1-2,250,1
20260513,下関,8,予選,晴,1,1,1,3,5,5270,小玉　　啓太,,,,,,1.524,1-2-5,1070,4,1-2,300,2,1-2-5,390,2,1-2,250,1
20260513,下関,8,予選,晴,1,1,1,4,4,5351,齊藤　　　廉,,,,,,1.536,1-2-5,1070,4,1-2,300,2,1-2-5,390,2,1-2,250,1
20260513,下関,8,予選,晴,1,1,1,5,6,5201,村上　宗太郎,,,,,,,1-2-5,1070,4,1-2,300,2,1-2-5,390,2,1-2,250,1
20260513,下関,8,予選,晴,1,1,1,6,3,5176,石倉　　拓美,,,,,,,1-2-5,1070,4,1-2,300,2,1-2-5,390,2,1-2,250,1
20260513,下関,9,予選,晴,3,2,2,1,1,5127,沼田　　大都,,,,,,1.494,1-2-3,1170,1,1-2,460,1,1-2-3,370,1,1-2,320,1
20260513,下関,9,予選,晴,3,2,2,2,2,5275,松田　　淳平,,,,,,1.502,1-2-3,1170,1,1-2,460,1,1-2-3,370,1,1-2,320,1
20260513,下関,9,予選,晴,3,2,2,3,3,5246,楠　　将太郎,,,,,,1.521,1-2-3,1170,1,1-2,460,1,1-2-3,370,1,1-2,320,1
20260513,下関,9,予選,晴,3,2,2,4,4,5012,加倉　　侑征,,,,,,1.536,1-2-3,1170,1,1-2,460,1,1-2-3,370,1,1-2,320,1
20260513,下関,9,予選,晴,3,2,2,5,6,5343,小林　　礼央,,,,,,,1-2-3,1170,1,1-2,460,1,1-2-3,370,1,1-2,320,1
20260513,下関,9,予選,晴,3,2,2,6,5,5282,中本　　大樹,,,,,,,1-2-3,1170,1,1-2,460,1,1-2-3,370,1,1-2,320,1
20260513,下関,10,予選特賞,晴,1,1,1,1,1,5222,津田　　陸翔,,,,,,1.497,1-5-6,3420,12,1-5,820,3,1-5-6,1600,5,1-5,510,2
20260513,下関,10,予選特賞,晴,1,1,1,2,5,5216,長谷川　晴哉,,,,,,1.508,1-5-6,3420,12,1-5,820,3,1-5-6,1600,5,1-5,510,2
20260513,下関,10,予選特賞,晴,1,1,1,3,6,5325,澁川　　　夏,,,,,,1.513,1-5-6,3420,12,1-5,820,3,1-5-6,1600,5,1-5,510,2
20260513,下関,10,予選特賞,晴,1,1,1,4,2,5330,安河内鈴之介,,,,,,1.526,1-5-6,3420,12,1-5,820,3,1-5-6,1600,5,1-5,510,2
20260513,下関,10,予選特賞,晴,1,1,1,5,3,5187,小坂　　風太,,,,,,,1-5-6,3420,12,1-5,820,3,1-5-6,1600,5,1-5,510,2
20260513,下関,10,予選特賞,晴,1,1,1,6,4,5336,瀬川　　大地,,,,,,,1-5-6,3420,12,1-5,820,3,1-5-6,1600,5,1-5,510,2
20260513,下関,11,予選特選,晴,1,1,1,1,1,5220,青木　　　蓮,,,,,,1.486,1-3-4,620,2,1-3,180,1,1-3-4,250,1,1-3,270,2
20260513,下関,11,予選特選,晴,1,1,1,2,3,5114,小林　　孝彰,,,,,,1.506,1-3-4,620,2,1-3,180,1,1-3-4,250,1,1-3,270,2
20260513,下関,11,予選特選,晴,1,1,1,3,4,5125,高井　　雄基,,,,,,1.523,1-3-4,620,2,1-3,180,1,1-3-4,250,1,1-3,270,2
20260513,下関,11,予選特選,晴,1,1,1,4,2,5190,大月　　遊雅,,,,,,1.536,1-3-4,620,2,1-3,180,1,1-3-4,250,1,1-3,270,2
20260513,下関,11,予選特選,晴,1,1,1,5,5,5313,鈴木　　唯央,,,,,,,1-3-4,620,2,1-3,180,1,1-3-4,250,1,1-3,270,2
20260513,下関,11,予選特選,晴,1,1,1,6,6,5130,上野　　拓馬,,,,,,,1-3-4,620,2,1-3,180,1,1-3-4,250,1,1-3,270,2
20260513,下関,12,ドリーム戦,晴,1,1,1,1,1,5018,竹下　　大樹,,,,,,1.488,1-3-6,2760,12,1-3,460,2,1-3-6,1960,9,1-3,380,2
20260513,下関,12,ドリーム戦,晴,1,1,1,2,3,5132,中野　　希一,,,,,,1.501,1-3-6,2760,12,1-3,460,2,1-3-6,1960,9,1-3,380,2
20260513,下関,12,ドリーム戦,晴,1,1,1,3,6,5221,竹間　　隆晟,,,,,,1.514,1-3-6,2760,12,1-3,460,2,1-3-6,1960,9,1-3,380,2
20260513,下関,12,ドリーム戦,晴,1,1,1,4,4,5016,宮田　　龍馬,,,,,,1.523,1-3-6,2760,12,1-3,460,2,1-3-6,1960,9,1-3,380,2
20260513,下関,12,ドリーム戦,晴,1,1,1,5,5,5145,島川　　海輝,,,,,,,1-3-6,2760,12,1-3,460,2,1-3-6,1960,9,1-3,380,2
20260513,下関,12,ドリーム戦,晴,1,1,1,6,2,5034,若林　　義人,,,,,,,1-3-6,2760,12,1-3,460,2,1-3-6,1960,9,1-3,380,2
20260513,住之江,1,一般戦,晴,17,0,1,1,2,4583,古田　　祐貴,,,,,,1.502,2-1-4,3290,12,2-1,870,4,1-2-4,650,4,1-2,280,1
20260513,住之江,1,一般戦,晴,17,0,1,2,1,4318,桑原　　将光,,,,,,1.514,2-1-4,3290,12,2-1,870,4,1-2-4,650,4,1-2,280,1
20260513,住之江,1,一般戦,晴,17,0,1,3,4,3945,橋口　　真樹,,,,,,1.525,2-1-4,3290,12,2-1,870,4,1-2-4,650,4,1-2,280,1
20260513,住之江,1,一般戦,晴,17,0,1,4,5,4600,井内　将太郎,,,,,,1.537,2-1-4,3290,12,2-1,870,4,1-2-4,650,4,1-2,280,1
20260513,住之江,1,一般戦,晴,17,0,1,5,3,4623,中北　　将史,,,,,,1.561,2-1-4,3290,12,2-1,870,4,1-2-4,650,4,1-2,280,1
20260513,住之江,1,一般戦,晴,17,0,1,6,6,5418,堀内　　亜海,,,,,,1.587,2-1-4,3290,12,2-1,870,4,1-2-4,650,4,1-2,280,1
20260513,住之江,2,一般戦,晴,17,0,1,1,2,3988,古川　　誠之,,,,,,1.495,2-1-5,1580,6,2-1,1010,5,1-2-5,180,1,1-2,460,3
