date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20260412,唐津,1,朝１戦,曇り,14,2,2,1,1,4994,山本　　梨菜,,,,,,1.496,1-2-3,520,1,1-2,260,2,1-2-3,270,1,1-2,190,1
20260412,唐津,1,朝１戦,曇り,14,2,2,2,2,3551,藤田　　美代,,,,,,1.526,1-2-3,520,1,1-2,260,2,1-2-3,270,1,1-2,190,1
20260412,唐津,1,朝１戦,曇り,14,2,2,3,3,5153,佐藤　ほのか,,,,,,1.535,1-2-3,520,1,1-2,260,2,1-2-3,270,1,1-2,190,1
20260412,唐津,1,朝１戦,曇り,14,2,2,4,4,4534,坂　　咲友理,,,,,,1.542,1-2-3,520,1,1-2,260,2,1-2-3,270,1,1-2,190,1
20260412,唐津,1,朝１戦,曇り,14,2,2,5,5,3778,安達　　美帆,,,,,,1.557,1-2-3,520,1,1-2,260,2,1-2-3,270,1,1-2,190,1
20260412,唐津,1,朝１戦,曇り,14,2,2,6,6,5428,古園井　綾南,,,,,,1.589,1-2-3,520,1,1-2,260,2,1-2-3,270,1,1-2,190,1
20260412,唐津,2,モー２ング戦,晴,17,0,1,1,1,3435,寺田　　千恵,,,,,,1.491,1-2-3,1790,6,1-2,210,1,1-2-3,810,4,1-2,190,1
20260412,唐津,2,モー２ング戦,晴,17,0,1,2,2,5218,山田　　理央,,,,,,1.512,1-2-3,1790,6,1-2,210,1,1-2-3,810,4,1-2,190,1
20260412,唐津,2,モー２ング戦,晴,17,0,1,3,3,3355,橋谷田　佳織,,,,,,1.531,1-2-3,1790,6,1-2,210,1,1-2-3,810,4,1-2,190,1
20260412,唐津,2,モー２ング戦,晴,17,0,1,4,5,4714,喜多須　杏奈,,,,,,1.540,1-2-3,1790,6,1-2,210,1,1-2-3,810,4,1-2,190,1
20260412,唐津,2,モー２ング戦,晴,17,0,1,5,4,3302,谷川　　里江,,,,,,1.553,1-2-3,1790,6,1-2,210,1,1-2-3,810,4,1-2,190,1
20260412,唐津,2,モー２ング戦,晴,17,0,1,6,6,5412,久保田　凪紗,,,,,,1.566,1-2-3,1790,6,1-2,210,1,1-2-3,810,4,1-2,190,1
20260412,唐津,3,３ライズ戦,晴,4,2,2,1,3,4938,小芦　るり華,,,,,,1.489,3-1-4,910,3,3-1,370,2,1-3-4,240,1,1-3,150,1
20260412,唐津,3,３ライズ戦,晴,4,2,2,2,1,4014,片岡　　恵里,,,,,,1.514,3-1-4,910,3,3-1,370,2,1-3-4,240,1,1-3,150,1
20260412,唐津,3,３ライズ戦,晴,4,2,2,3,4,5265,大廣　　咲季,,,,,,1.527,3-1-4,910,3,3-1,370,2,1-3-4,240,1,1-3,150,1
20260412,唐津,3,３ライズ戦,晴,4,2,2,4,5,4400,加藤　　奈月,,,,,,1.545,3-1-4,910,3,3-1,370,2,1-3-4,240,1,1-3,150,1
20260412,唐津,3,３ライズ戦,晴,4,2,2,5,6,4878,西岡　　育未,,,,,,1.552,3-1-4,910,3,3-1,370,2,1-3-4,240,1,1-3,150,1
20260412,唐津,3,３ライズ戦,晴,4,2,2,6,2,5306,河内　悠利杏,,,,,,1.579,3-1-4,910,3,3-1,370,2,1-3-4,240,1,1-3,150,1
20260412,唐津,4,おは４戦,晴,4,2,2,1,2,4791,黒澤　めぐみ,,,,,,1.481,2-1-4,4430,17,2-1,1410,6,1-2-4,530,3,1-2,500,2
20260412,唐津,4,おは４戦,晴,4,2,2,2,1,3871,池田　　紫乃,,,,,,1.492,2-1-4,4430,17,2-1,1410,6,1-2-4,530,3,1-2,500,2
20260412,唐津,4,おは４戦,晴,4,2,2,3,4,4183,宇野　　弥生,,,,,,1.510,2-1-4,4430,17,2-1,1410,6,1-2-4,530,3,1-2,500,2
20260412,唐津,4,おは４戦,晴,4,2,2,4,3,4893,渡邉　真奈美,,,,,,1.511,2-1-4,4430,17,2-1,1410,6,1-2-4,530,3,1-2,500,2
