date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20250429,大村,1,予選,晴,北西,2,1,1,2,3777,樋 口 亮,60,19,6.92,3,0.19,1.49.2,2-6-3,1690,4,2-6,780,4,2-3-6,290,1,2-6,340,1
20250429,大村,1,予選,晴,北西,2,1,2,6,3349,吉 田 一 郎,76,46,6.89,1,0.12,1.49.5,2-6-3,1690,4,2-6,780,4,2-3-6,290,1,2-6,340,1
20250429,大村,1,予選,晴,北西,2,1,3,3,4948,木 場 悠 介,59,25,6.88,4,0.19,1.51.8,2-6-3,1690,4,2-6,780,4,2-3-6,290,1,2-6,340,1
20250429,大村,1,予選,晴,北西,2,1,4,4,4268,和 合 俊 介,27,40,6.97,5,0.17,1.52.9,2-6-3,1690,4,2-6,780,4,2-3-6,290,1,2-6,340,1
20250429,大村,1,予選,晴,北西,2,1,5,5,4705,吉 川 勇 作,11,35,6.90,6,0.17,,2-6-3,1690,4,2-6,780,4,2-3-6,290,1,2-6,340,1
20250429,大村,1,予選,晴,北西,2,1,6,1,4408,仁 科 さやか,55,31,6.89,2,0.18,,2-6-3,1690,4,2-6,780,4,2-3-6,290,1,2-6,340,1
20250429,大村,2,予選,晴,北西,2,1,1,1,4299,中 島 浩 哉,13,29,6.90,1,0.16,1.48.3,1-3-2,1300,3,1-3,440,2,1-2-3,400,1,1-3,360,1
20250429,大村,2,予選,晴,北西,2,1,2,3,4695,尾 崎 雄 二,57,59,6.88,3,0.16,1.50.4,1-3-2,1300,3,1-3,440,2,1-2-3,400,1,1-3,360,1
20250429,大村,2,予選,晴,北西,2,1,3,2,3871,池 田 紫 乃,23,39,6.86,2,0.20,1.52.0,1-3-2,1300,3,1-3,440,2,1-2-3,400,1,1-3,360,1
20250429,大村,2,予選,晴,北西,2,1,4,4,4259,真 庭 明 志,54,50,6.87,4,0.16,1.52.8,1-3-2,1300,3,1-3,440,2,1-2-3,400,1,1-3,360,1
20250429,大村,2,予選,晴,北西,2,1,5,5,5193,米 丸 乃 絵,18,41,6.83,5,0.21,,1-3-2,1300,3,1-3,440,2,1-2-3,400,1,1-3,360,1
20250429,大村,2,予選,晴,北西,2,1,6,6,4106,坂 井 康 嗣,62,15,6.95,6,0.25,,1-3-2,1300,3,1-3,440,2,1-2-3,400,1,1-3,360,1
20250429,大村,3,予選,晴,北西,3,2,1,4,3265,今 村 暢 孝,51,22,6.97,3,0.18,1.49.2,4-2-6,14390,50,4-2,3190,10,2-4-6,2180,12,2-4,580,3
20250429,大村,3,予選,晴,北西,3,2,2,2,4603,谷 川 将 太,31,14,6.88,4,0.09,1.50.3,4-2-6,14390,50,4-2,3190,10,2-4-6,2180,12,2-4,580,3
20250429,大村,3,予選,晴,北西,3,2,3,6,3284,渡 邊 伸太郎,65,16,6.93,5,0.08,1.52.7,4-2-6,14390,50,4-2,3190,10,2-4-6,2180,12,2-4,580,3
20250429,大村,3,予選,晴,北西,3,2,4,1,4555,富 永 大 一,21,65,6.86,1,0.06,1.52.8,4-2-6,14390,50,4-2,3190,10,2-4-6,2180,12,2-4,580,3
20250429,大村,3,予選,晴,北西,3,2,5,3,3527,中 嶋 誠一郎,43,52,6.94,2,0.09,,4-2-6,14390,50,4-2,3190,10,2-4-6,2180,12,2-4,580,3
20250429,大村,3,予選,晴,北西,3,2,6,5,5129,山 口 真喜子,53,38,6.98,6,0.05,,4-2-6,14390,50,4-2,3190,10,2-4-6,2180,12,2-4,580,3
20250429,大村,4,予選,晴,北西,2,1,1,4,5055,眞 鳥 章 太,39,34,6.92,4,0.13,1.48.9,4-1-3,8090,30,4-1,3280,13,1-3-4,550,4,1-4,980,6
20250429,大村,4,予選,晴,北西,2,1,2,1,4248,岡 本 大,66,30,6.96,1,0.18,1.50.1,4-1-3,8090,30,4-1,3280,13,1-3-4,550,4,1-4,980,6
20250429,大村,4,予選,晴,北西,2,1,3,3,4966,田 川 大 貴,22,49,6.99,3,0.12,1.50.5,4-1-3,8090,30,4-1,3280,13,1-3-4,550,4,1-4,980,6
20250429,大村,4,予選,晴,北西,2,1,4,5,5086,本 村 大,61,63,6.94,5,0.19,1.51.7,4-1-3,8090,30,4-1,3280,13,1-3-4,550,4,1-4,980,6
20250429,大村,4,予選,晴,北西,2,1,5,2,4315,山 崎 昂 介,28,33,6.94,2,0.17,,4-1-3,8090,30,4-1,3280,13,1-3-4,550,4,1-4,980,6
20250429,大村,4,予選,晴,北西,2,1,6,6,5309,森 雄 利,71,12,6.87,6,0.18,,4-1-3,8090,30,4-1,3280,13,1-3-4,550,4,1-4,980,6
