date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20251026,びわこ,1,予選,曇り,北東,1,1,1,4,4467,渡 邉 俊 介,73,31,6.74,4,0.10,1.49.4,4-3-1,10070,23,4-3,5390,10,1-3-4,320,2,3-4,2510,6,,,,,,,
20251026,びわこ,1,予選,曇り,北東,1,1,2,3,5258,仲 本 舜,20,12,6.79,3,0.19,1.51.3,4-3-1,10070,23,4-3,5390,10,1-3-4,320,2,3-4,2510,6,,,,,,,
20251026,びわこ,1,予選,曇り,北東,1,1,3,1,4363,大 野 芳 顕,65,63,6.76,1,0.23,1.52.3,4-3-1,10070,23,4-3,5390,10,1-3-4,320,2,3-4,2510,6,,,,,,,
20251026,びわこ,1,予選,曇り,北東,1,1,4,6,4992,廣 瀬 篤 哉,48,48,6.85,6,0.21,1.54.9,4-3-1,10070,23,4-3,5390,10,1-3-4,320,2,3-4,2510,6,,,,,,,
20251026,びわこ,1,予選,曇り,北東,1,1,5,2,3834,細 川 明 人,14,67,6.77,2,0.20,,4-3-1,10070,23,4-3,5390,10,1-3-4,320,2,3-4,2510,6,,,,,,,
20251026,びわこ,1,予選,曇り,北東,1,1,6,5,5322,根 岸 真 優,12,21,6.72,5,0.15,,4-3-1,10070,23,4-3,5390,10,1-3-4,320,2,3-4,2510,6,,,,,,,
20251026,びわこ,2,予選,曇り,北東,1,1,1,2,4475,末 永 祐 輝,44,20,6.73,2,0.27,1.50.3,2-4-5,14010,48,2-4,1660,6,2-4-5,3860,13,2-4,950,4,,,,,,,
20251026,びわこ,2,予選,曇り,北東,1,1,2,4,3895,堀 本 裕 也,21,30,6.69,4,0.22,1.51.5,2-4-5,14010,48,2-4,1660,6,2-4-5,3860,13,2-4,950,4,,,,,,,
20251026,びわこ,2,予選,曇り,北東,1,1,3,5,4511,中 岡 健 人,49,47,6.82,5,0.27,1.52.8,2-4-5,14010,48,2-4,1660,6,2-4-5,3860,13,2-4,950,4,,,,,,,
20251026,びわこ,2,予選,曇り,北東,1,1,4,6,3606,川 北 浩 貴,55,35,6.70,6,0.35,1.54.0,2-4-5,14010,48,2-4,1660,6,2-4-5,3860,13,2-4,950,4,,,,,,,
