date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20260315,福岡,1,カタメン１一,晴,北,2,2,1,1,4485,楠 原 正 剛,42,167,6.85,1,0.17,1.49.8,1-4-5,2350,8,1-4,700,3,1-4-5,1180,5,1-4,370,3
20260315,福岡,1,カタメン１一,晴,北,2,2,2,4,5032,谷 口 知 優,69,132,6.79,4,0.19,1.51.6,1-4-5,2350,8,1-4,700,3,1-4-5,1180,5,1-4,370,3
20260315,福岡,1,カタメン１一,晴,北,2,2,3,5,4837,酒 井 陽 祐,22,152,6.83,5,0.21,1.52.9,1-4-5,2350,8,1-4,700,3,1-4-5,1180,5,1-4,370,3
20260315,福岡,1,カタメン１一,晴,北,2,2,4,3,5007,近 藤 雄一郎,71,151,6.85,3,0.20,1.53.6,1-4-5,2350,8,1-4,700,3,1-4-5,1180,5,1-4,370,3
20260315,福岡,1,カタメン１一,晴,北,2,2,5,2,4631,新 井 英 孝,66,125,6.84,2,0.19,,1-4-5,2350,8,1-4,700,3,1-4-5,1180,5,1-4,370,3
20260315,福岡,1,カタメン１一,晴,北,2,2,6,6,5413,宮 城 那 菜,40,139,6.86,6,0.12,,1-4-5,2350,8,1-4,700,3,1-4-5,1180,5,1-4,370,3
20260315,福岡,2,一般戦,晴,北,3,3,1,1,4590,渡 邉 優 美,21,138,6.83,1,0.17,1.56.8,1-5-2,1790,9,1-5,500,3,1-2-5,730,4,1-5,410,3
20260315,福岡,2,一般戦,晴,北,3,3,2,5,5109,川 崎 智 稔,43,126,6.74,5,0.11,1.59.1,1-5-2,1790,9,1-5,500,3,1-2-5,730,4,1-5,410,3
20260315,福岡,2,一般戦,晴,北,3,3,3,2,5061,中 村 駿 平,26,150,6.83,2,0.14,2.03.9,1-5-2,1790,9,1-5,500,3,1-2-5,730,4,1-5,410,3
20260315,福岡,2,一般戦,晴,北,3,3,4,4,4962,畑 竜 生,24,155,6.75,4,0.14,2.06.8,1-5-2,1790,9,1-5,500,3,1-2-5,730,4,1-5,410,3
20260315,福岡,2,一般戦,晴,北,3,3,5,6,5334,樫 葉 新 心,34,165,6.79,6,0.16,,1-5-2,1790,9,1-5,500,3,1-2-5,730,4,1-5,410,3
20260315,福岡,3,カタメン３一,晴,北,3,3,1,6,5398,鐘ヶ江 真 司,74,146,6.76,6,0.12,1.49.6,6-3-1,12180,36,6-3,5200,18,1-3-6,1040,4,3-6,2230,9
20260315,福岡,3,カタメン３一,晴,北,3,3,2,3,4362,土 屋 智 則,67,166,6.88,3,0.13,1.51.3,6-3-1,12180,36,6-3,5200,18,1-3-6,1040,4,3-6,2230,9
20260315,福岡,3,カタメン３一,晴,北,3,3,3,1,4861,田 中 宏 樹,55,159,6.79,1,0.08,1.52.0,6-3-1,12180,36,6-3,5200,18,1-3-6,1040,4,3-6,2230,9
20260315,福岡,3,カタメン３一,晴,北,3,3,4,5,4486,野 村 誠,68,162,6.88,5,0.19,1.53.1,6-3-1,12180,36,6-3,5200,18,1-3-6,1040,4,3-6,2230,9
20260315,福岡,3,カタメン３一,晴,北,3,3,5,2,4846,佐 藤 駿 介,70,135,6.82,2,0.13,,6-3-1,12180,36,6-3,5200,18,1-3-6,1040,4,3-6,2230,9
20260315,福岡,3,カタメン３一,晴,北,3,3,6,4,5033,藤 原 孝 斗,17,156,6.81,4,0.26,,6-3-1,12180,36,6-3,5200,18,1-3-6,1040,4,3-6,2230,9
20260315,福岡,4,一般戦,晴,北,3,3,1,1,4526,池 田 雄 祐,19,160,6.73,1,0.16,1.50.0,1-4-5,1660,5,1-4,750,3,1-4-5,450,2,1-4,550,4
