date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20250320,大村,1,予選,晴,西,2,1,1,2,4857,加 藤 翔 馬,57,52,6.96,2,0.18,1.47.7,2-4-6,2100,6,2-4,1980,8,2-4-6,670,2,2-4,910,4
20250320,大村,1,予選,晴,西,2,1,2,4,3742,宮 地 秀 祈,67,17,7.00,4,0.21,1.50.8,2-4-6,2100,6,2-4,1980,8,2-4-6,670,2,2-4,910,4
20250320,大村,1,予選,晴,西,2,1,3,6,4526,池 田 雄 祐,25,46,6.85,6,0.27,1.51.4,2-4-6,2100,6,2-4,1980,8,2-4-6,670,2,2-4,910,4
20250320,大村,1,予選,晴,西,2,1,4,5,5352,西 岡 蒼 志,53,27,6.93,5,0.19,1.51.9,2-4-6,2100,6,2-4,1980,8,2-4-6,670,2,2-4,910,4
20250320,大村,1,予選,晴,西,2,1,5,1,3878,胡 本 悟 志,24,48,6.97,1,0.15,,2-4-6,2100,6,2-4,1980,8,2-4-6,670,2,2-4,910,4
20250320,大村,1,予選,晴,西,2,1,6,3,5258,仲 本 舜,15,13,7.02,3,0.23,,2-4-6,2100,6,2-4,1980,8,2-4-6,670,2,2-4,910,4
20250320,大村,2,予選,晴,西,1,1,1,3,3998,冨 成 謙 児,36,32,6.91,3,0.17,1.49.4,3-4-2,6840,25,3-4,2930,12,2-3-4,1170,4,3-4,1310,6
20250320,大村,2,予選,晴,西,1,1,2,4,4786,佐 藤 博 亮,49,19,6.94,4,0.14,1.50.5,3-4-2,6840,25,3-4,2930,12,2-3-4,1170,4,3-4,1310,6
20250320,大村,2,予選,晴,西,1,1,3,2,5147,田 中 勇 輔,32,28,6.88,2,0.14,1.52.1,3-4-2,6840,25,3-4,2930,12,2-3-4,1170,4,3-4,1310,6
20250320,大村,2,予選,晴,西,1,1,4,1,2878,富 山 弘 幸,73,57,6.92,1,0.15,1.53.0,3-4-2,6840,25,3-4,2930,12,2-3-4,1170,4,3-4,1310,6
20250320,大村,2,予選,晴,西,1,1,5,6,5374,木 山 大 聖,75,34,6.85,6,0.19,,3-4-2,6840,25,3-4,2930,12,2-3-4,1170,4,3-4,1310,6
20250320,大村,2,予選,晴,西,1,1,6,5,4180,上 野 秀 和,13,16,6.95,5,0.21,,3-4-2,6840,25,3-4,2930,12,2-3-4,1170,4,3-4,1310,6
20250320,大村,3,予選,晴,北西,1,1,1,1,3600,玄 馬 徹,70,30,6.95,1,0.26,1.50.1,1-4-3,5540,21,1-4,2010,11,1-3-4,1040,4,1-4,1920,9
20250320,大村,3,予選,晴,北西,1,1,2,4,3967,鈴 木 茂 高,48,72,7.08,4,0.25,1.51.1,1-4-3,5540,21,1-4,2010,11,1-3-4,1040,4,1-4,1920,9
20250320,大村,3,予選,晴,北西,1,1,3,3,4105,松 下 直 也,76,70,6.93,3,0.25,1.52.2,1-4-3,5540,21,1-4,2010,11,1-3-4,1040,4,1-4,1920,9
20250320,大村,3,予選,晴,北西,1,1,4,2,5271,杉 山 太 陽,68,55,6.88,2,0.25,1.52.9,1-4-3,5540,21,1-4,2010,11,1-3-4,1040,4,1-4,1920,9
20250320,大村,3,予選,晴,北西,1,1,5,5,4894,原 村 拓 也,33,56,6.97,5,0.20,,1-4-3,5540,21,1-4,2010,11,1-3-4,1040,4,1-4,1920,9
20250320,大村,3,予選,晴,北西,1,1,6,6,3956,横 澤 剛 治,72,14,6.96,6,0.22,,1-4-3,5540,21,1-4,2010,11,1-3-4,1040,4,1-4,1920,9
20250320,大村,4,予選,晴,西,1,1,1,2,4033,伊 藤 将 吉,56,26,6.86,2,0.12,1.53.7,2-1-3,1090,2,2-1,470,2,1-2-3,400,2,1-2,290,2
20250320,大村,4,予選,晴,西,1,1,2,1,3982,福 田 理,23,54,6.93,1,0.11,1.56.3,2-1-3,1090,2,2-1,470,2,1-2-3,400,2,1-2,290,2
20250320,大村,4,予選,晴,西,1,1,3,3,4892,柴 田 直 哉,19,50,6.93,3,0.14,1.58.7,2-1-3,1090,2,2-1,470,2,1-2-3,400,2,1-2,290,2
20250320,大村,4,予選,晴,西,1,1,4,5,4099,吉 永 則 雄,16,20,6.99,4,0.12,2.00.7,2-1-3,1090,2,2-1,470,2,1-2-3,400,2,1-2,290,2
20250320,大村,4,予選,晴,西,1,1,5,6,4299,中 島 浩 哉,39,51,6.97,6,0.12,,2-1-3,1090,2,2-1,470,2,1-2-3,400,2,1-2,290,2
20250320,大村,5,予選,晴,南,1,1,1,2,4532,秋 元 哲,44,36,7.01,2,0.19,1.48.9,2-1-5,2430,8,2-1,430,2,1-2-5,710,3,1-2,210,1
20250320,大村,5,予選,晴,南,1,1,2,1,3581,加 木 郁,17,15,6.89,1,0.20,1.50.4,2-1-5,2430,8,2-1,430,2,1-2-5,710,3,1-2,210,1
20250320,大村,5,予選,晴,南,1,1,3,5,4389,伊 藤 喜 智,65,11,6.95,5,0.21,1.51.9,2-1-5,2430,8,2-1,430,2,1-2-5,710,3,1-2,210,1
20250320,大村,5,予選,晴,南,1,1,4,4,4069,山 本 修 一,37,67,6.97,4,0.19,1.52.4,2-1-5,2430,8,2-1,430,2,1-2-5,710,3,1-2,210,1
20250320,大村,5,予選,晴,南,1,1,5,3,5214,田 中 宏 典,43,75,6.92,3,0.21,,2-1-5,2430,8,2-1,430,2,1-2-5,710,3,1-2,210,1
20250320,大村,5,予選,晴,南,1,1,6,6,3444,香 月 大 介,20,74,6.90,6,0.16,,2-1-5,2430,8,2-1,430,2,1-2-5,710,3,1-2,210,1
20250320,大村,6,予選,晴,南東,1,1,1,3,5252,荒 木 颯 斗,66,73,6.83,3,0.12,1.48.1,3-2-1,16860,42,3-2,6350,16,1-2-3,1040,4,2-3,3490,8
20250320,大村,6,予選,晴,南東,1,1,2,2,3989,熊 本 英 一,27,60,6.91,2,0.19,1.49.9,3-2-1,16860,42,3-2,6350,16,1-2-3,1040,4,2-3,3490,8
20250320,大村,6,予選,晴,南東,1,1,3,1,4022,待 鳥 雄 紀,54,69,6.91,1,0.17,1.51.9,3-2-1,16860,42,3-2,6350,16,1-2-3,1040,4,2-3,3490,8
20250320,大村,6,予選,晴,南東,1,1,4,6,3742,宮 地 秀 祈,67,17,6.93,5,0.23,1.53.3,3-2-1,16860,42,3-2,6350,16,1-2-3,1040,4,2-3,3490,8
20250320,大村,6,予選,晴,南東,1,1,5,4,4535,北 山 康 介,55,47,6.93,4,0.15,,3-2-1,16860,42,3-2,6350,16,1-2-3,1040,4,2-3,3490,8
20250320,大村,6,予選,晴,南東,1,1,6,5,5374,木 山 大 聖,75,34,6.89,6,0.24,,3-2-1,16860,42,3-2,6350,16,1-2-3,1040,4,2-3,3490,8
20250320,大村,7,予選 進入固定,晴,東,1,1,1,1,4259,真 庭 明 志,12,66,6.90,1,0.14,1.48.5,1-4-5,720,1,1-4,300,1,1-4-5,240,1,1-4,220,1
20250320,大村,7,予選 進入固定,晴,東,1,1,2,4,4518,大須賀 友,14,41,6.81,4,0.18,1.50.6,1-4-5,720,1,1-4,300,1,1-4-5,240,1,1-4,220,1
20250320,大村,7,予選 進入固定,晴,東,1,1,3,5,4318,桑 原 将 光,64,62,6.89,5,0.17,1.51.6,1-4-5,720,1,1-4,300,1,1-4-5,240,1,1-4,220,1
