date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20260808,三国,1,みくにあさイ,晴,南,1,1,1,1,4967,中 村 魁 生,16,30,6.71,1,0.21,1.50.3,1-3-6,4750,13,1-3,220,1,1-3-6,3120,8,1-3,160,1,,,,,,,
20260808,三国,1,みくにあさイ,晴,南,1,1,2,3,5091,為 本 智 也,41,37,6.76,3,0.19,1.51.2,1-3-6,4750,13,1-3,220,1,1-3-6,3120,8,1-3,160,1,,,,,,,
20260808,三国,1,みくにあさイ,晴,南,1,1,3,6,3660,長谷川 親 王,52,36,6.75,5,0.22,1.54.2,1-3-6,4750,13,1-3,220,1,1-3-6,3120,8,1-3,160,1,,,,,,,
20260808,三国,1,みくにあさイ,晴,南,1,1,4,2,5020,宮 村 勇 哉,28,49,6.74,2,0.21,1.55.3,1-3-6,4750,13,1-3,220,1,1-3-6,3120,8,1-3,160,1,,,,,,,
20260808,三国,1,みくにあさイ,晴,南,1,1,5,5,4905,土 井 祥 伍,43,11,6.68,6,0.25,,1-3-6,4750,13,1-3,220,1,1-3-6,3120,8,1-3,160,1,,,,,,,
20260808,三国,1,みくにあさイ,晴,南,1,1,6,4,5169,堀 本 翔 太,22,57,6.76,4,0.19,,1-3-6,4750,13,1-3,220,1,1-3-6,3120,8,1-3,160,1,,,,,,,
20260808,三国,2,みくにあさガ,晴,南西,2,2,1,1,5015,高 橋 竜 矢,17,56,6.78,1,0.16,1.50.5,1-2-5,420,2,1-2,160,1,1-2-5,280,1,1-2,170,1,,,,,,,
20260808,三国,2,みくにあさガ,晴,南西,2,2,2,2,3963,原 田 秀 弥,42,72,6.72,2,0.30,1.51.9,1-2-5,420,2,1-2,160,1,1-2-5,280,1,1-2,170,1,,,,,,,
20260808,三国,2,みくにあさガ,晴,南西,2,2,3,5,4154,森 安 弘 雅,59,48,6.84,5,0.24,1.54.2,1-2-5,420,2,1-2,160,1,1-2-5,280,1,1-2,170,1,,,,,,,
20260808,三国,2,みくにあさガ,晴,南西,2,2,4,6,4181,花 本 夏 樹,47,13,6.83,6,0.29,1.55.0,1-2-5,420,2,1-2,160,1,1-2-5,280,1,1-2,170,1,,,,,,,
20260808,三国,2,みくにあさガ,晴,南西,2,2,5,3,4219,本 岡 勝 利,32,62,6.79,3,0.34,,1-2-5,420,2,1-2,160,1,1-2-5,280,1,1-2,170,1,,,,,,,
20260808,三国,2,みくにあさガ,晴,南西,2,2,6,4,4896,花 本 剛,21,50,6.86,4,0.28,,1-2-5,420,2,1-2,160,1,1-2-5,280,1,1-2,170,1,,,,,,,
20260808,三国,3,みくにあさズ,晴,無風,0,0,1,1,5166,仲 道 大 輔,50,32,6.72,1,0.07,1.50.7,1-3-2,530,1,1-3,190,1,1-2-3,240,1,1-3,160,1,,,,,,,
20260808,三国,3,みくにあさズ,晴,無風,0,0,2,3,4977,馬 野 耀,12,54,6.78,3,0.01,1.51.5,1-3-2,530,1,1-3,190,1,1-2-3,240,1,1-3,160,1,,,,,,,
20260808,三国,3,みくにあさズ,晴,無風,0,0,3,2,5369,岡 崎 凪 汰,36,39,6.73,2,0.02,1.53.0,1-3-2,530,1,1-3,190,1,1-2-3,240,1,1-3,160,1,,,,,,,
20260808,三国,3,みくにあさズ,晴,無風,0,0,4,5,4211,村 田 敦,55,23,6.80,5,0.06,1.55.1,1-3-2,530,1,1-3,190,1,1-2-3,240,1,1-3,160,1,,,,,,,
20260808,三国,3,みくにあさズ,晴,無風,0,0,5,4,3889,須 藤 隆 雄,37,19,6.81,4,0.02,,1-3-2,530,1,1-3,190,1,1-2-3,240,1,1-3,160,1,,,,,,,
20260808,三国,3,みくにあさズ,晴,無風,0,0,6,6,4876,梅 木 敬 太,60,26,6.78,6,0.09,,1-3-2,530,1,1-3,190,1,1-2-3,240,1,1-3,160,1,,,,,,,
20260808,三国,4,みくにあさ推,晴,北西,3,3,1,1,4906,鈴 木 雅 希,53,70,6.72,1,0.09,1.55.1,1-4-5,1160,1,1-4,490,1,1-4-5,370,1,1-4,320,1,,,,,,,
20260808,三国,4,みくにあさ推,晴,北西,3,3,2,4,3918,深 井 利 寿,11,66,6.84,4,0.11,1.57.4,1-4-5,1160,1,1-4,490,1,1-4-5,370,1,1-4,320,1,,,,,,,
20260808,三国,4,みくにあさ推,晴,北西,3,3,3,5,5267,石 本 裕 武,30,58,6.73,5,0.13,2.00.9,1-4-5,1160,1,1-4,490,1,1-4-5,370,1,1-4,320,1,,,,,,,
20260808,三国,4,みくにあさ推,晴,北西,3,3,4,2,3745,橋 本 年 光,56,29,6.85,2,0.08,2.02.4,1-4-5,1160,1,1-4,490,1,1-4-5,370,1,1-4,320,1,,,,,,,
20260808,三国,4,みくにあさ推,晴,北西,3,3,5,3,4226,村 田 浩 司,67,59,6.82,3,0.10,,1-4-5,1160,1,1-4,490,1,1-4-5,370,1,1-4,320,1,,,,,,,
20260808,三国,5,一般,晴,北西,3,3,1,1,5350,網 代 良 芽,57,24,6.76,1,0.19,1.51.3,1-6-3,6300,27,1-6,990,4,1-3-6,1880,8,1-6,540,3,,,,,,,
20260808,三国,5,一般,晴,北西,3,3,2,6,4529,嶋 義 信,34,40,6.81,6,0.13,1.52.6,1-6-3,6300,27,1-6,990,4,1-3-6,1880,8,1-6,540,3,,,,,,,
20260808,三国,5,一般,晴,北西,3,3,3,3,3834,細 川 明 人,51,46,6.90,3,0.31,1.54.6,1-6-3,6300,27,1-6,990,4,1-3-6,1880,8,1-6,540,3,,,,,,,
20260808,三国,5,一般,晴,北西,3,3,4,5,4514,上 條 嘉 嗣,27,38,6.81,5,0.23,1.54.9,1-6-3,6300,27,1-6,990,4,1-3-6,1880,8,1-6,540,3,,,,,,,
20260808,三国,5,一般,晴,北西,3,3,5,4,4561,藤 山 翔 大,39,47,6.85,4,0.33,,1-6-3,6300,27,1-6,990,4,1-3-6,1880,8,1-6,540,3,,,,,,,
20260808,三国,5,一般,晴,北西,3,3,6,2,5178,成 貞 琳 平,26,16,6.90,2,0.19,,1-6-3,6300,27,1-6,990,4,1-3-6,1880,8,1-6,540,3,,,,,,,
20260808,三国,6,一般,晴,北西,5,5,1,1,4632,長 尾 京志郎,31,25,6.93,1,0.02,1.50.1,1-6-3,4200,18,1-6,1130,4,1-3-6,810,4,1-6,930,5,,,,,,,
20260808,三国,6,一般,晴,北西,5,5,2,6,3721,守 田 俊 介,15,20,6.93,5,0.13,1.52.0,1-6-3,4200,18,1-6,1130,4,1-3-6,810,4,1-6,930,5,,,,,,,
20260808,三国,6,一般,晴,北西,5,5,3,3,4523,中 村 辰 也,61,28,6.84,3,0.14,1.53.4,1-6-3,4200,18,1-6,1130,4,1-3-6,810,4,1-6,930,5,,,,,,,
