date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20260414,三国,1,みくにあさイチ,晴,4,1,1,1,2,3497,後藤　　　浩,,,,,,1.497,2-1-6,7700,21,2-1,1620,5,1-2-6,730,4,1-2,170,1
20260414,三国,1,みくにあさイチ,晴,4,1,1,2,1,5038,金田　　智博,,,,,,1.515,2-1-6,7700,21,2-1,1620,5,1-2-6,730,4,1-2,170,1
20260414,三国,1,みくにあさイチ,晴,4,1,1,3,6,4487,三原　　　司,,,,,,1.522,2-1-6,7700,21,2-1,1620,5,1-2-6,730,4,1-2,170,1
20260414,三国,1,みくにあさイチ,晴,4,1,1,4,5,5386,米玉利　大悟,,,,,,1.527,2-1-6,7700,21,2-1,1620,5,1-2-6,730,4,1-2,170,1
20260414,三国,1,みくにあさイチ,晴,4,1,1,5,3,4246,喜多　那由夏,,,,,,,2-1-6,7700,21,2-1,1620,5,1-2-6,730,4,1-2,170,1
20260414,三国,1,みくにあさイチ,晴,4,1,1,6,4,4203,小倉　　康典,,,,,,,2-1-6,7700,21,2-1,1620,5,1-2-6,730,4,1-2,170,1
20260414,三国,2,みくにあさガチ,晴,4,1,1,1,6,5105,富田　　恕生,,,,,,1.498,6-2-3,336710,112,6-2,84840,27,2-3-6,16620,19,2-6,6780,9
20260414,三国,2,みくにあさガチ,晴,4,1,1,2,2,4420,津久井　拓也,,,,,,1.506,6-2-3,336710,112,6-2,84840,27,2-3-6,16620,19,2-6,6780,9
20260414,三国,2,みくにあさガチ,晴,4,1,1,3,3,3748,小黒　　竜吾,,,,,,1.525,6-2-3,336710,112,6-2,84840,27,2-3-6,16620,19,2-6,6780,9
20260414,三国,2,みくにあさガチ,晴,4,1,1,4,1,4983,前田　　篤哉,,,,,,1.532,6-2-3,336710,112,6-2,84840,27,2-3-6,16620,19,2-6,6780,9
20260414,三国,2,みくにあさガチ,晴,4,1,1,5,5,5228,若林　　樹蘭,,,,,,,6-2-3,336710,112,6-2,84840,27,2-3-6,16620,19,2-6,6780,9
20260414,三国,2,みくにあさガチ,晴,4,1,1,6,4,4844,村上　　奈穂,,,,,,,6-2-3,336710,112,6-2,84840,27,2-3-6,16620,19,2-6,6780,9
20260414,三国,3,みくにあさズバ,晴,4,2,2,1,3,4545,岡村　　慶太,,,,,,1.491,3-1-4,1020,2,3-1,280,1,1-3-4,420,2,1-3,210,1
20260414,三国,3,みくにあさズバ,晴,4,2,2,2,1,3251,平石　　和男,,,,,,1.509,3-1-4,1020,2,3-1,280,1,1-3-4,420,2,1-3,210,1
20260414,三国,3,みくにあさズバ,晴,4,2,2,3,4,2878,富山　　弘幸,,,,,,1.516,3-1-4,1020,2,3-1,280,1,1-3-4,420,2,1-3,210,1
20260414,三国,3,みくにあさズバ,晴,4,2,2,4,2,4987,島倉　　　都,,,,,,1.536,3-1-4,1020,2,3-1,280,1,1-3-4,420,2,1-3,210,1
20260414,三国,3,みくにあさズバ,晴,4,2,2,5,5,3661,柳瀬　　興志,,,,,,,3-1-4,1020,2,3-1,280,1,1-3-4,420,2,1-3,210,1
