date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20251217,,1,一般,晴,北西,4,3,1,6,4508,野 間 大 樹,21,40,6.73,5,0.13,1.49.3,6-2-4,5370,26,6-2,1210,6,2-4-6,1180,6,2-6,690,5
20251217,,1,一般,晴,北西,4,3,2,2,4089,妹 尾 忠 幸,19,39,6.85,2,0.16,1.50.7,6-2-4,5370,26,6-2,1210,6,2-4-6,1180,6,2-6,690,5
20251217,,1,一般,晴,北西,4,3,3,4,5143,常 盤 海 心,73,70,6.78,4,0.25,1.51.7,6-2-4,5370,26,6-2,1210,6,2-4-6,1180,6,2-6,690,5
20251217,,1,一般,晴,北西,4,3,4,1,3535,渡 修 平,54,37,6.84,1,0.19,1.53.8,6-2-4,5370,26,6-2,1210,6,2-4-6,1180,6,2-6,690,5
20251217,,1,一般,晴,北西,4,3,5,3,4607,鶴 田 勇 雄,75,64,6.87,3,0.32,,6-2-4,5370,26,6-2,1210,6,2-4-6,1180,6,2-6,690,5
20251217,,1,一般,晴,北西,4,3,6,5,5431,得 山 大 輝,49,71,6.86,6,0.17,,6-2-4,5370,26,6-2,1210,6,2-4-6,1180,6,2-6,690,5
20251217,,2,一般,晴,北西,3,2,1,4,5026,安河内 健,76,61,6.77,4,0.06,1.49.0,4-5-2,14530,50,4-5,2520,9,2-4-5,5750,15,4-5,1960,7
20251217,,2,一般,晴,北西,3,2,2,5,5374,木 山 大 聖,36,50,6.78,5,0.04,1.49.9,4-5-2,14530,50,4-5,2520,9,2-4-5,5750,15,4-5,1960,7
20251217,,2,一般,晴,北西,3,2,3,2,3569,増 田 進,14,69,6.83,2,0.15,1.52.3,4-5-2,14530,50,4-5,2520,9,2-4-5,5750,15,4-5,1960,7
20251217,,2,一般,晴,北西,3,2,4,1,5352,西 岡 蒼 志,40,73,6.74,1,0.08,1.53.5,4-5-2,14530,50,4-5,2520,9,2-4-5,5750,15,4-5,1960,7
20251217,,2,一般,晴,北西,3,2,5,6,4332,村 上 彰 一,16,20,6.84,6,0.05,,4-5-2,14530,50,4-5,2520,9,2-4-5,5750,15,4-5,1960,7
20251217,,2,一般,晴,北西,3,2,6,3,4154,森 安 弘 雅,25,28,6.82,3,0.14,,4-5-2,14530,50,4-5,2520,9,2-4-5,5750,15,4-5,1960,7
20251217,,3,一般,晴,北西,3,2,1,4,3574,大 神 康 司,20,51,6.85,2,0.25,1.54.0,4-5-3,32380,62,4-5,3420,14,3-4-5,11330,13,4-5,2420,8
20251217,,3,一般,晴,北西,3,2,2,5,3226,浦 田 信 義,65,36,6.78,5,0.06,1.56.7,4-5-3,32380,62,4-5,3420,14,3-4-5,11330,13,4-5,2420,8
20251217,,3,一般,晴,北西,3,2,3,3,3878,胡 本 悟 志,46,14,6.82,4,0.19,2.00.2,4-5-3,32380,62,4-5,3420,14,3-4-5,11330,13,4-5,2420,8
20251217,,3,一般,晴,北西,3,2,4,6,3950,石 川 哲 秀,69,53,6.90,6,0.04,2.04.1,4-5-3,32380,62,4-5,3420,14,3-4-5,11330,13,4-5,2420,8
20251217,,3,一般,晴,北西,3,2,5,2,4850,野 中 一 平,56,65,6.82,3,0.09,,4-5-3,32380,62,4-5,3420,14,3-4-5,11330,13,4-5,2420,8
20251217,,4,一般,晴,北西,4,3,1,3,4305,金 子 拓 矢,37,45,6.86,3,0.04,1.48.9,3-5-6,11340,41,3-5,1170,5,3-5-6,4520,12,3-5,780,2
20251217,,4,一般,晴,北西,4,3,2,5,4072,森 永 淳,17,46,6.78,5,0.10,1.50.5,3-5-6,11340,41,3-5,1170,5,3-5-6,4520,12,3-5,780,2
20251217,,4,一般,晴,北西,4,3,3,6,4919,吉 田 翔 悟,27,44,6.85,6,0.22,1.51.7,3-5-6,11340,41,3-5,1170,5,3-5-6,4520,12,3-5,780,2
20251217,,4,一般,晴,北西,4,3,4,1,4293,鈴 木 智 啓,51,35,6.89,1,0.05,1.52.4,3-5-6,11340,41,3-5,1170,5,3-5-6,4520,12,3-5,780,2
20251217,,4,一般,晴,北西,4,3,5,2,3825,宮 嵜 隆太郎,24,16,6.79,2,0.02,,3-5-6,11340,41,3-5,1170,5,3-5-6,4520,12,3-5,780,2
20251217,,4,一般,晴,北西,4,3,6,4,4492,本 多 宏 和,58,27,6.83,4,0.11,,3-5-6,11340,41,3-5,1170,5,3-5-6,4520,12,3-5,780,2
20251217,,5,一般,晴,北西,4,3,1,4,4526,池 田 雄 祐,15,75,6.82,4,0.03,1.47.8,4-1-6,9580,24,4-1,1540,4,1-4-6,3870,10,1-4,290,2
20251217,,5,一般,晴,北西,4,3,2,1,3024,西 島 義 則,35,60,6.81,1,0.18,1.48.9,4-1-6,9580,24,4-1,1540,4,1-4-6,3870,10,1-4,290,2
20251217,,5,一般,晴,北西,4,3,3,6,4181,花 本 夏 樹,50,76,6.89,6,0.15,1.51.8,4-1-6,9580,24,4-1,1540,4,1-4-6,3870,10,1-4,290,2
20251217,,5,一般,晴,北西,4,3,4,2,4487,三 原 司,26,11,6.84,2,0.17,1.52.2,4-1-6,9580,24,4-1,1540,4,1-4-6,3870,10,1-4,290,2
20251217,,5,一般,晴,北西,4,3,5,5,3869,井 芹 大 志,45,29,6.84,5,0.05,,4-1-6,9580,24,4-1,1540,4,1-4-6,3870,10,1-4,290,2
20251217,,5,一般,晴,北西,4,3,6,3,4411,沢 田 昭 宏,38,13,6.84,3,0.10,,4-1-6,9580,24,4-1,1540,4,1-4-6,3870,10,1-4,290,2
20251217,,6,一般,晴,北西,3,2,1,1,4982,中 村 将 隆,63,54,6.80,1,0.08,1.48.8,1-3-4,1690,5,1-3,410,1,1-3-4,530,2,1-3,170,1
20251217,,6,一般,晴,北西,3,2,2,3,3984,坂 口 周,74,43,6.82,3,0.12,1.50.3,1-3-4,1690,5,1-3,410,1,1-3-4,530,2,1-3,170,1
20251217,,6,一般,晴,北西,3,2,3,4,4944,田 代 達 也,71,48,6.80,4,0.11,1.51.8,1-3-4,1690,5,1-3,410,1,1-3-4,530,2,1-3,170,1
20251217,,6,一般,晴,北西,3,2,4,2,4803,飯 田 庄 吾,28,31,6.81,2,0.12,1.52.5,1-3-4,1690,5,1-3,410,1,1-3-4,530,2,1-3,170,1
20251217,,6,一般,晴,北西,3,2,5,5,4069,山 本 修 一,23,25,6.84,5,0.14,,1-3-4,1690,5,1-3,410,1,1-3-4,530,2,1-3,170,1
20251217,,6,一般,晴,北西,3,2,6,6,4299,中 島 浩 哉,68,67,6.79,6,0.17,,1-3-4,1690,5,1-3,410,1,1-3-4,530,2,1-3,170,1
20251217,,7,一般 進入固定,晴,北西,2,1,1,1,4000,松 本 博 昭,31,30,6.81,1,0.07,1.49.6,1-5-6,18310,31,1-5,2380,6,1-5-6,7280,13,1-5,1360,4
20251217,,7,一般 進入固定,晴,北西,2,1,2,5,5401,谷 海夏人,41,62,6.85,5,0.16,1.50.3,1-5-6,18310,31,1-5,2380,6,1-5-6,7280,13,1-5,1360,4
20251217,,7,一般 進入固定,晴,北西,2,1,3,6,3211,北 川 敏 弘,55,78,6.85,6,0.12,1.52.1,1-5-6,18310,31,1-5,2380,6,1-5-6,7280,13,1-5,1360,4
20251217,,7,一般 進入固定,晴,北西,2,1,4,3,4195,前 川 守 嗣,67,41,6.89,3,0.11,1.52.2,1-5-6,18310,31,1-5,2380,6,1-5-6,7280,13,1-5,1360,4
20251217,,7,一般 進入固定,晴,北西,2,1,5,2,4592,小 林 孝 弘,72,57,6.88,2,0.11,,1-5-6,18310,31,1-5,2380,6,1-5-6,7280,13,1-5,1360,4
20251217,,7,一般 進入固定,晴,北西,2,1,6,4,3477,近 藤 稔 也,61,38,6.86,4,0.22,,1-5-6,18310,31,1-5,2380,6,1-5-6,7280,13,1-5,1360,4
20251217,,8,準優進出戦,晴,北西,3,2,1,1,3574,大 神 康 司,20,51,6.80,1,0.15,1.49.4,1-5-6,9170,21,1-5,1220,5,1-5-6,4920,12,1-5,1100,4
20251217,,8,準優進出戦,晴,北西,3,2,2,5,4089,妹 尾 忠 幸,19,39,6.88,5,0.19,1.50.5,1-5-6,9170,21,1-5,1220,5,1-5-6,4920,12,1-5,1100,4
20251217,,8,準優進出戦,晴,北西,3,2,3,6,4293,鈴 木 智 啓,51,35,6.87,6,0.18,1.52.2,1-5-6,9170,21,1-5,1220,5,1-5-6,4920,12,1-5,1100,4
20251217,,8,準優進出戦,晴,北西,3,2,4,2,4460,後 藤 翔 之,39,32,6.86,2,0.14,1.52.4,1-5-6,9170,21,1-5,1220,5,1-5-6,4920,12,1-5,1100,4
20251217,,8,準優進出戦,晴,北西,3,2,5,3,4332,村 上 彰 一,16,20,6.79,3,0.16,,1-5-6,9170,21,1-5,1220,5,1-5-6,4920,12,1-5,1100,4
20251217,,8,準優進出戦,晴,北西,3,2,6,4,5055,眞 鳥 章 太,32,74,6.80,4,0.19,,1-5-6,9170,21,1-5,1220,5,1-5-6,4920,12,1-5,1100,4
20251217,,9,準優進出戦,晴,北西,2,1,1,1,4492,本 多 宏 和,58,27,6.81,1,0.05,1.48.3,1-3-4,900,3,1-3,360,2,1-3-4,510,2,1-3,260,1
20251217,,9,準優進出戦,晴,北西,2,1,2,3,5026,安河内 健,76,61,6.83,3,0.09,1.49.7,1-3-4,900,3,1-3,360,2,1-3-4,510,2,1-3,260,1
20251217,,9,準優進出戦,晴,北西,2,1,3,4,4850,野 中 一 平,56,65,6.83,4,0.05,1.51.0,1-3-4,900,3,1-3,360,2,1-3-4,510,2,1-3,260,1
20251217,,9,準優進出戦,晴,北西,2,1,4,5,4526,池 田 雄 祐,15,75,6.80,5,0.07,1.51.4,1-3-4,900,3,1-3,360,2,1-3-4,510,2,1-3,260,1
20251217,,9,準優進出戦,晴,北西,2,1,5,2,4508,野 間 大 樹,21,40,6.69,2,0.25,,1-3-4,900,3,1-3,360,2,1-3-4,510,2,1-3,260,1
