date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20250322,三国,1,みくにあさイ,晴,南東,4,4,1,2,5246,楠 将太郎,45,55,6.73,2,0.13,1.50.5,2-5-3,20350,39,2-5,7090,13,2-3-5,2790,8,2-5,2690,7,,,,,,,
20250322,三国,1,みくにあさイ,晴,南東,4,4,2,5,5243,三 馬 崇 史,13,40,6.77,5,0.10,1.51.9,2-5-3,20350,39,2-5,7090,13,2-3-5,2790,8,2-5,2690,7,,,,,,,
20250322,三国,1,みくにあさイ,晴,南東,4,4,3,3,3860,松 本 浩 貴,12,60,6.74,3,0.12,1.52.3,2-5-3,20350,39,2-5,7090,13,2-3-5,2790,8,2-5,2690,7,,,,,,,
20250322,三国,1,みくにあさイ,晴,南東,4,4,4,1,3654,武 田 光 史,33,57,6.71,1,0.22,1.54.5,2-5-3,20350,39,2-5,7090,13,2-3-5,2790,8,2-5,2690,7,,,,,,,
20250322,三国,1,みくにあさイ,晴,南東,4,4,5,6,5339,石 井 伸 長,38,35,6.73,6,0.08,,2-5-3,20350,39,2-5,7090,13,2-3-5,2790,8,2-5,2690,7,,,,,,,
20250322,三国,1,みくにあさイ,晴,南東,4,4,6,4,5334,樫 葉 新 心,31,14,6.74,4,0.11,,2-5-3,20350,39,2-5,7090,13,2-3-5,2790,8,2-5,2690,7,,,,,,,
20250322,三国,2,みくにあさガ,晴,南東,3,3,1,2,4762,藤 原 啓史朗,67,54,6.81,2,0.12,1.51.0,2-3-5,3050,13,2-3,960,4,2-3-5,1190,5,2-3,680,3,,,,,,,
20250322,三国,2,みくにあさガ,晴,南東,3,3,2,3,4431,石 塚 裕 介,28,72,6.84,3,0.17,1.52.1,2-3-5,3050,13,2-3,960,4,2-3-5,1190,5,2-3,680,3,,,,,,,
20250322,三国,2,みくにあさガ,晴,南東,3,3,3,5,5187,小 坂 風 太,70,23,6.79,5,0.41,1.52.8,2-3-5,3050,13,2-3,960,4,2-3-5,1190,5,2-3,680,3,,,,,,,
20250322,三国,2,みくにあさガ,晴,南東,3,3,4,4,4173,岡 谷 健 吾,21,51,6.86,4,0.23,1.54.6,2-3-5,3050,13,2-3,960,4,2-3-5,1190,5,2-3,680,3,,,,,,,
20250322,三国,2,みくにあさガ,晴,南東,3,3,5,1,4819,蜂 須 瑞 生,11,63,6.78,1,0.19,,2-3-5,3050,13,2-3,960,4,2-3-5,1190,5,2-3,680,3,,,,,,,
20250322,三国,2,みくにあさガ,晴,南東,3,3,6,6,5306,河 内 悠利杏,59,19,6.77,6,0.24,,2-3-5,3050,13,2-3,960,4,2-3-5,1190,5,2-3,680,3,,,,,,,
20250322,三国,3,みくにあさズ,晴,南東,3,3,1,6,5039,倉 田 茂 将,46,69,6.82,2,0.09,1.51.2,6-1-2,8600,28,6-1,2320,8,1-2-6,910,6,1-6,750,4,,,,,,,
20250322,三国,3,みくにあさズ,晴,南東,3,3,2,1,4336,松 田 竜 馬,35,61,6.76,1,0.14,1.52.1,6-1-2,8600,28,6-1,2320,8,1-2-6,910,6,1-6,750,4,,,,,,,
20250322,三国,3,みくにあさズ,晴,南東,3,3,3,2,4947,間 庭 菜 摘,41,65,6.70,5,0.09,1.52.5,6-1-2,8600,28,6-1,2320,8,1-2-6,910,6,1-6,750,4,,,,,,,
20250322,三国,3,みくにあさズ,晴,南東,3,3,4,5,4676,後 藤 隼 之,29,16,6.81,4,0.12,1.53.5,6-1-2,8600,28,6-1,2320,8,1-2-6,910,6,1-6,750,4,,,,,,,
20250322,三国,3,みくにあさズ,晴,南東,3,3,5,4,5156,坂 野 さくら,36,37,6.76,6,0.11,,6-1-2,8600,28,6-1,2320,8,1-2-6,910,6,1-6,750,4,,,,,,,
20250322,三国,3,みくにあさズ,晴,南東,3,3,6,3,4580,長谷川 雅 和,68,32,6.81,3,0.11,,6-1-2,8600,28,6-1,2320,8,1-2-6,910,6,1-6,750,4,,,,,,,
20250322,三国,4,みくにあさ推,晴,南,3,3,1,1,4256,渡 辺 浩 司,17,38,6.72,1,0.16,1.50.2,1-2-3,2540,8,1-2,750,3,1-2-3,650,4,1-2,670,3,,,,,,,
20250322,三国,4,みくにあさ推,晴,南,3,3,2,2,4876,梅 木 敬 太,24,71,6.76,3,0.22,1.51.5,1-2-3,2540,8,1-2,750,3,1-2-3,650,4,1-2,670,3,,,,,,,
20250322,三国,4,みくにあさ推,晴,南,3,3,3,3,4516,野 口 勝 弘,42,43,6.67,4,0.29,1.52.7,1-2-3,2540,8,1-2,750,3,1-2-3,650,4,1-2,670,3,,,,,,,
20250322,三国,4,みくにあさ推,晴,南,3,3,4,5,4052,興 津 藍,50,25,6.68,6,0.26,1.53.0,1-2-3,2540,8,1-2,750,3,1-2-3,650,4,1-2,670,3,,,,,,,
20250322,三国,4,みくにあさ推,晴,南,3,3,5,6,3284,渡 邊 伸太郎,37,48,6.77,2,0.20,,1-2-3,2540,8,1-2,750,3,1-2-3,650,4,1-2,670,3,,,,,,,
20250322,三国,4,みくにあさ推,晴,南,3,3,6,4,4435,服 部 達 哉,65,41,6.78,5,0.27,,1-2-3,2540,8,1-2,750,3,1-2-3,650,4,1-2,670,3,,,,,,,
20250322,三国,5,予選,晴,南西,3,3,1,2,4845,前 田 紗 希,64,45,6.76,2,0.16,1.49.7,2-1-4,2510,5,2-1,990,3,1-2-4,1080,4,1-2,620,3,,,,,,,
20250322,三国,5,予選,晴,南西,3,3,2,1,4785,木 幡 純 也,34,58,6.82,1,0.10,1.50.4,2-1-4,2510,5,2-1,990,3,1-2-4,1080,4,1-2,620,3,,,,,,,
20250322,三国,5,予選,晴,南西,3,3,3,4,5193,米 丸 乃 絵,26,31,6.78,4,0.23,1.52.4,2-1-4,2510,5,2-1,990,3,1-2-4,1080,4,1-2,620,3,,,,,,,
20250322,三国,5,予選,晴,南西,3,3,4,3,4883,岡 部 大 輝,20,44,6.84,3,0.15,1.53.6,2-1-4,2510,5,2-1,990,3,1-2-4,1080,4,1-2,620,3,,,,,,,
20250322,三国,5,予選,晴,南西,3,3,5,5,3805,高 橋 英 之,48,29,6.88,5,0.25,,2-1-4,2510,5,2-1,990,3,1-2-4,1080,4,1-2,620,3,,,,,,,
20250322,三国,5,予選,晴,南西,3,3,6,6,5054,佐々木 大 河,23,39,6.84,6,0.19,,2-1-4,2510,5,2-1,990,3,1-2-4,1080,4,1-2,620,3,,,,,,,
20250322,三国,6,予選,晴,西,3,3,1,1,5307,富 永 夏哉人,58,33,6.82,1,0.10,1.49.3,1-4-3,1750,4,1-4,590,1,1-3-4,510,2,1-4,270,1,,,,,,,
20250322,三国,6,予選,晴,西,3,3,2,4,4366,前 沢 丈 史,52,56,6.91,4,0.08,1.51.9,1-4-3,1750,4,1-4,590,1,1-3-4,510,2,1-4,270,1,,,,,,,
20250322,三国,6,予選,晴,西,3,3,3,3,4669,井 上 茂,18,64,6.80,3,0.10,1.53.2,1-4-3,1750,4,1-4,590,1,1-3-4,510,2,1-4,270,1,,,,,,,
20250322,三国,6,予選,晴,西,3,3,4,2,4431,石 塚 裕 介,28,72,6.92,2,0.12,1.54.3,1-4-3,1750,4,1-4,590,1,1-3-4,510,2,1-4,270,1,,,,,,,
20250322,三国,6,予選,晴,西,3,3,5,5,4383,竹 田 吉 行,56,70,6.88,5,0.07,,1-4-3,1750,4,1-4,590,1,1-3-4,510,2,1-4,270,1,,,,,,,
20250322,三国,6,予選,晴,西,3,3,6,6,5334,樫 葉 新 心,31,14,6.82,6,0.10,,1-4-3,1750,4,1-4,590,1,1-3-4,510,2,1-4,270,1,,,,,,,
