date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20250609,大村,1,一般,雨,北西,1,1,1,1,5086,本 村 大,65,67,6.90,1,0.26,1.48.9,1-3-2,990,5,1-3,360,2,1-2-3,260,1,1-3,300,2
20250609,大村,1,一般,雨,北西,1,1,2,3,3568,木 村 光 宏,36,58,6.96,3,0.21,1.52.4,1-3-2,990,5,1-3,360,2,1-2-3,260,1,1-3,300,2
20250609,大村,1,一般,雨,北西,1,1,3,2,3467,森 弘 行,47,43,6.94,2,0.26,1.53.2,1-3-2,990,5,1-3,360,2,1-2-3,260,1,1-3,300,2
20250609,大村,1,一般,雨,北西,1,1,4,5,3346,宮 本 裕 之,23,26,7.00,5,0.17,1.54.3,1-3-2,990,5,1-3,360,2,1-2-3,260,1,1-3,300,2
20250609,大村,1,一般,雨,北西,1,1,5,4,4557,松 尾 光 広,74,56,6.99,4,0.21,,1-3-2,990,5,1-3,360,2,1-2-3,260,1,1-3,300,2
20250609,大村,1,一般,雨,北西,1,1,6,6,3949,今 出 晋 二,38,57,6.97,6,0.19,,1-3-2,990,5,1-3,360,2,1-2-3,260,1,1-3,300,2
20250609,大村,2,一般,雨,無風,0,1,1,1,4213,重 富 伸 也,20,49,6.93,1,0.07,1.50.3,1-6-3,1700,3,1-6,850,3,1-3-6,430,1,1-6,580,4
20250609,大村,2,一般,雨,無風,0,1,2,6,4218,吉 川 喜 継,32,14,6.95,4,0.08,1.51.0,1-6-3,1700,3,1-6,850,3,1-3-6,430,1,1-6,580,4
20250609,大村,2,一般,雨,無風,0,1,3,3,3882,新 田 智 彰,52,61,6.96,3,0.03,1.52.9,1-6-3,1700,3,1-6,850,3,1-3-6,430,1,1-6,580,4
20250609,大村,2,一般,雨,無風,0,1,4,4,3961,谷 村 一 哉,30,30,6.99,5,0.15,1.53.9,1-6-3,1700,3,1-6,850,3,1-3-6,430,1,1-6,580,4
20250609,大村,2,一般,雨,無風,0,1,5,2,4560,庄 司 樹良々,54,21,7.06,2,0.05,,1-6-3,1700,3,1-6,850,3,1-3-6,430,1,1-6,580,4
20250609,大村,2,一般,雨,無風,0,1,6,5,3934,鋤 柄 貴 俊,22,22,7.05,6,0.16,,1-6-3,1700,3,1-6,850,3,1-3-6,430,1,1-6,580,4
20250609,大村,3,一般,雨,南,1,1,1,3,4092,岡 部 大 輔,75,75,7.04,3,0.11,1.50.0,3-5-2,23260,65,3-5,9020,19,2-3-5,2140,10,3-5,2590,9
20250609,大村,3,一般,雨,南,1,1,2,5,4543,重 木 輝 彦,13,28,6.95,5,0.14,1.51.4,3-5-2,23260,65,3-5,9020,19,2-3-5,2140,10,3-5,2590,9
20250609,大村,3,一般,雨,南,1,1,3,2,3918,深 井 利 寿,14,48,6.99,2,0.11,1.52.5,3-5-2,23260,65,3-5,9020,19,2-3-5,2140,10,3-5,2590,9
20250609,大村,3,一般,雨,南,1,1,4,1,4251,川 崎 誠 志,39,51,6.92,1,0.16,1.53.2,3-5-2,23260,65,3-5,9020,19,2-3-5,2140,10,3-5,2590,9
20250609,大村,3,一般,雨,南,1,1,5,4,5136,濱 野 斗 馬,11,39,7.03,4,0.07,,3-5-2,23260,65,3-5,9020,19,2-3-5,2140,10,3-5,2590,9
20250609,大村,3,一般,雨,南,1,1,6,6,5107,松 本 真 広,18,38,6.98,6,0.11,,3-5-2,23260,65,3-5,9020,19,2-3-5,2140,10,3-5,2590,9
20250609,大村,4,一般,雨,南,2,1,1,2,4293,鈴 木 智 啓,51,40,7.07,2,0.11,1.49.5,2-1-5,6960,19,2-1,2270,5,1-2-5,380,2,1-2,260,1
20250609,大村,4,一般,雨,南,2,1,2,1,4460,後 藤 翔 之,56,47,6.95,1,0.06,1.51.2,2-1-5,6960,19,2-1,2270,5,1-2-5,380,2,1-2,260,1
