date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20250411,丸亀,1,一般,晴,西,2,2,1,1,4410,井 上 大 輔,22,62,6.77,1,0.07,1.50.5,1-2-4,750,1,1-2,310,1,1-2-4,240,1,1-2,260,1,,,,,,,
20250411,丸亀,1,一般,晴,西,2,2,2,2,3251,平 石 和 男,19,65,6.66,2,0.17,1.51.4,1-2-4,750,1,1-2,310,1,1-2-4,240,1,1-2,260,1,,,,,,,
20250411,丸亀,1,一般,晴,西,2,2,3,4,4695,尾 崎 雄 二,11,30,6.78,4,0.19,1.52.6,1-2-4,750,1,1-2,310,1,1-2-4,240,1,1-2,260,1,,,,,,,
20250411,丸亀,1,一般,晴,西,2,2,4,3,3567,吉 岡 誠,60,11,6.73,3,0.09,1.54.0,1-2-4,750,1,1-2,310,1,1-2-4,240,1,1-2,260,1,,,,,,,
20250411,丸亀,1,一般,晴,西,2,2,5,5,3986,沖 島 広 和,44,13,6.76,5,0.16,1.55.1,1-2-4,750,1,1-2,310,1,1-2-4,240,1,1-2,260,1,,,,,,,
20250411,丸亀,1,一般,晴,西,2,2,6,6,4836,大 谷 健 太,16,22,6.82,6,0.27,1.56.6,1-2-4,750,1,1-2,310,1,1-2-4,240,1,1-2,260,1,,,,,,,
20250411,丸亀,2,一般,晴,西,3,3,1,4,4281,大 澤 大 夢,59,41,6.71,4,0.08,1.50.1,4-1-3,12100,53,4-1,3950,16,1-3-4,720,2,1-4,740,3,,,,,,,
20250411,丸亀,2,一般,晴,西,3,3,2,1,3297,藤 丸 光 一,26,29,6.69,1,0.17,1.51.7,4-1-3,12100,53,4-1,3950,16,1-3-4,720,2,1-4,740,3,,,,,,,
20250411,丸亀,2,一般,晴,西,3,3,3,3,3935,岩 津 徹 郎,45,2,6.69,3,0.14,1.52.3,4-1-3,12100,53,4-1,3950,16,1-3-4,720,2,1-4,740,3,,,,,,,
20250411,丸亀,2,一般,晴,西,3,3,4,5,3873,別 府 昌 樹,57,35,6.70,5,0.08,1.52.5,4-1-3,12100,53,4-1,3950,16,1-3-4,720,2,1-4,740,3,,,,,,,
20250411,丸亀,2,一般,晴,西,3,3,5,6,3997,北 村 征 嗣,36,58,6.73,6,0.15,1.54.3,4-1-3,12100,53,4-1,3950,16,1-3-4,720,2,1-4,740,3,,,,,,,
20250411,丸亀,2,一般,晴,西,3,3,6,2,3212,亀 本 勇 樹,50,9,6.80,2,0.13,1.55.9,4-1-3,12100,53,4-1,3950,16,1-3-4,720,2,1-4,740,3,,,,,,,
20250411,丸亀,3,一般,晴,西,3,3,1,2,3562,山 下 和 彦,28,60,6.76,1,0.12,1.49.8,2-3-5,8500,29,2-3,1470,5,2-3-5,2810,12,2-3,1170,4,,,,,,,
20250411,丸亀,3,一般,晴,西,3,3,2,3,4438,森 作 雄 大,23,20,6.69,2,0.12,1.51.2,2-3-5,8500,29,2-3,1470,5,2-3-5,2810,12,2-3,1170,4,,,,,,,
