date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20260828,びわこ,1,予選,雨,北,1,1,1,1,3807,岡 部 哲,33,73,6.69,1,0.05,1.50.8,1-2-6,1950,6,1-2,310,1,1-2-6,1140,4,1-2,260,1
20260828,びわこ,1,予選,雨,北,1,1,2,2,5160,藤 森 陸 斗,43,11,6.70,2,0.06,1.50.9,1-2-6,1950,6,1-2,310,1,1-2-6,1140,4,1-2,260,1
20260828,びわこ,1,予選,雨,北,1,1,3,6,3619,長谷川 充,12,57,6.84,6,0.22,1.53.2,1-2-6,1950,6,1-2,310,1,1-2-6,1140,4,1-2,260,1
20260828,びわこ,1,予選,雨,北,1,1,4,4,5085,中 村 栄 治,24,54,6.82,4,0.26,1.54.4,1-2-6,1950,6,1-2,310,1,1-2-6,1140,4,1-2,260,1
20260828,びわこ,1,予選,雨,北,1,1,5,5,3516,吉 原 聖 人,25,43,6.66,5,0.14,,1-2-6,1950,6,1-2,310,1,1-2-6,1140,4,1-2,260,1
20260828,びわこ,1,予選,雨,北,1,1,6,3,5333,山 下 智 己,30,35,6.83,3,0.09,,1-2-6,1950,6,1-2,310,1,1-2-6,1140,4,1-2,260,1
20260828,びわこ,2,予選,曇り,北,2,2,1,1,3582,吉 川 昭 男,47,34,6.70,1,0.11,1.50.9,1-5-4,3490,14,1-5,610,2,1-4-5,1410,7,1-5,230,1
20260828,びわこ,2,予選,曇り,北,2,2,2,5,5064,品 川 二千翔,11,46,6.69,5,0.21,1.52.0,1-5-4,3490,14,1-5,610,2,1-4-5,1410,7,1-5,230,1
20260828,びわこ,2,予選,曇り,北,2,2,3,4,3882,新 田 智 彰,21,41,6.77,4,0.24,1.53.4,1-5-4,3490,14,1-5,610,2,1-4-5,1410,7,1-5,230,1
20260828,びわこ,2,予選,曇り,北,2,2,4,6,4151,下 河 誉 史,37,27,6.71,6,0.19,1.53.9,1-5-4,3490,14,1-5,610,2,1-4-5,1410,7,1-5,230,1
20260828,びわこ,2,予選,曇り,北,2,2,5,2,5294,豊 田 祥 生,38,16,6.72,2,0.23,,1-5-4,3490,14,1-5,610,2,1-4-5,1410,7,1-5,230,1
20260828,びわこ,2,予選,曇り,北,2,2,6,3,4261,岡 祐 臣,70,55,6.80,3,0.35,,1-5-4,3490,14,1-5,610,2,1-4-5,1410,7,1-5,230,1
20260828,びわこ,3,予選,曇り,無風,0,1,1,1,4424,松 尾 昂 明,26,23,6.65,1,0.19,1.50.6,1-4-5,2600,11,1-4,550,2,1-4-5,1200,5,1-4,500,3
20260828,びわこ,3,予選,曇り,無風,0,1,2,4,5228,若 林 樹 蘭,72,38,6.76,4,0.19,1.51.3,1-4-5,2600,11,1-4,550,2,1-4-5,1200,5,1-4,500,3
20260828,びわこ,3,予選,曇り,無風,0,1,3,5,5350,網 代 良 芽,32,44,6.75,5,0.14,1.52.2,1-4-5,2600,11,1-4,550,2,1-4-5,1200,5,1-4,500,3
20260828,びわこ,3,予選,曇り,無風,0,1,4,3,4427,秦 英 悟,23,61,6.83,3,0.11,1.54.0,1-4-5,2600,11,1-4,550,2,1-4-5,1200,5,1-4,500,3
20260828,びわこ,3,予選,曇り,無風,0,1,5,2,3430,角 浜 修,31,47,6.74,2,0.19,,1-4-5,2600,11,1-4,550,2,1-4-5,1200,5,1-4,500,3
20260828,びわこ,3,予選,曇り,無風,0,1,6,6,5393,藤 原 駿,48,63,6.82,6,0.11,,1-4-5,2600,11,1-4,550,2,1-4-5,1200,5,1-4,500,3
20260828,びわこ,4,予選,曇り,北東,1,1,1,1,4209,藤 田 竜 弘,73,50,6.68,1,0.11,1.51.3,1-2-5,6000,19,1-2,340,2,1-2-5,2630,9,1-2,380,2
20260828,びわこ,4,予選,曇り,北東,1,1,2,2,3740,大 澤 普 司,71,17,6.72,2,0.16,1.51.8,1-2-5,6000,19,1-2,340,2,1-2-5,2630,9,1-2,380,2
20260828,びわこ,4,予選,曇り,北東,1,1,3,5,5427,港 理 樹,15,69,6.78,5,0.18,1.52.9,1-2-5,6000,19,1-2,340,2,1-2-5,2630,9,1-2,380,2
20260828,びわこ,4,予選,曇り,北東,1,1,4,3,5075,中 島 秀 治,16,52,6.65,3,0.19,1.53.5,1-2-5,6000,19,1-2,340,2,1-2-5,2630,9,1-2,380,2
20260828,びわこ,4,予選,曇り,北東,1,1,5,4,3614,谷 勝 幸,51,36,6.70,4,0.17,,1-2-5,6000,19,1-2,340,2,1-2-5,2630,9,1-2,380,2
