date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20260717,びわこ,1,予選,晴,北東,1,1,1,1,3761,山 本 光 雄,26,25,6.72,1,0.08,1.51.9,1-2-3,1710,7,1-2,780,3,1-2-3,600,4,1-2,650,3,,,,,,,
20260717,びわこ,1,予選,晴,北東,1,1,2,2,3306,武 田 正 紀,17,68,6.75,2,0.04,1.53.2,1-2-3,1710,7,1-2,780,3,1-2-3,600,4,1-2,650,3,,,,,,,
20260717,びわこ,1,予選,晴,北東,1,1,3,3,3831,安 藤 裕 貴,36,66,6.79,3,0.00,1.54.2,1-2-3,1710,7,1-2,780,3,1-2-3,600,4,1-2,650,3,,,,,,,
20260717,びわこ,1,予選,晴,北東,1,1,4,4,3105,内 山 文 典,65,61,6.82,4,0.07,1.55.8,1-2-3,1710,7,1-2,780,3,1-2-3,600,4,1-2,650,3,,,,,,,
20260717,びわこ,1,予選,晴,北東,1,1,5,5,4213,重 富 伸 也,15,49,6.79,5,0.17,,1-2-3,1710,7,1-2,780,3,1-2-3,600,4,1-2,650,3,,,,,,,
20260717,びわこ,1,予選,晴,北東,1,1,6,6,4892,柴 田 直 哉,53,16,6.79,6,0.21,,1-2-3,1710,7,1-2,780,3,1-2-3,600,4,1-2,650,3,,,,,,,
20260717,びわこ,2,予選,晴,北東,2,2,1,3,4100,松 田 隆 司,46,29,6.78,3,0.08,1.51.5,3-4-2,16810,43,3-4,3620,11,2-3-4,2790,9,3-4,2080,6,,,,,,,
20260717,びわこ,2,予選,晴,北東,2,2,2,4,3612,馬 袋 義 則,31,43,6.77,4,0.09,1.52.5,3-4-2,16810,43,3-4,3620,11,2-3-4,2790,9,3-4,2080,6,,,,,,,
20260717,びわこ,2,予選,晴,北東,2,2,3,2,4402,乙 藤 智 史,34,54,6.75,2,0.07,1.53.7,3-4-2,16810,43,3-4,3620,11,2-3-4,2790,9,3-4,2080,6,,,,,,,
20260717,びわこ,2,予選,晴,北東,2,2,4,5,3837,秋 山 広 一,52,72,6.80,5,0.12,1.54.2,3-4-2,16810,43,3-4,3620,11,2-3-4,2790,9,3-4,2080,6,,,,,,,
20260717,びわこ,2,予選,晴,北東,2,2,5,6,3775,泉 啓 文,56,59,6.80,6,0.17,,3-4-2,16810,43,3-4,3620,11,2-3-4,2790,9,3-4,2080,6,,,,,,,
20260717,びわこ,2,予選,晴,北東,2,2,6,1,5282,中 本 大 樹,11,53,6.65,1,0.16,,3-4-2,16810,43,3-4,3620,11,2-3-4,2790,9,3-4,2080,6,,,,,,,
20260717,びわこ,3,予選,晴,北東,2,2,1,3,4292,麻 生 慎 介,59,60,6.82,3,0.11,1.51.6,3-5-2,13800,49,3-5,4300,14,2-3-5,1850,7,3-5,2800,10,,,,,,,
20260717,びわこ,3,予選,晴,北東,2,2,2,5,5318,河 内 一 馬,38,34,6.71,5,0.21,1.53.2,3-5-2,13800,49,3-5,4300,14,2-3-5,1850,7,3-5,2800,10,,,,,,,
20260717,びわこ,3,予選,晴,北東,2,2,3,2,3508,久 富 政 弘,70,19,6.75,2,0.14,1.54.4,3-5-2,13800,49,3-5,4300,14,2-3-5,1850,7,3-5,2800,10,,,,,,,
20260717,びわこ,3,予選,晴,北東,2,2,4,4,4382,高 山 智 至,54,14,6.77,4,0.24,1.55.6,3-5-2,13800,49,3-5,4300,14,2-3-5,1850,7,3-5,2800,10,,,,,,,
20260717,びわこ,3,予選,晴,北東,2,2,5,6,4207,松 下 一 也,30,36,6.79,6,0.28,,3-5-2,13800,49,3-5,4300,14,2-3-5,1850,7,3-5,2800,10,,,,,,,
20260717,びわこ,3,予選,晴,北東,2,2,6,1,3286,坂 東 満,23,28,6.82,1,0.16,,3-5-2,13800,49,3-5,4300,14,2-3-5,1850,7,3-5,2800,10,,,,,,,
20260717,びわこ,4,予選,晴,北東,2,2,1,1,4462,夏 山 亮 平,47,41,6.84,1,0.10,1.51.8,1-4-2,2330,7,1-4,900,3,1-2-4,490,2,1-4,530,3,,,,,,,
20260717,びわこ,4,予選,晴,北東,2,2,2,4,3251,平 石 和 男,27,51,6.88,4,0.23,1.52.3,1-4-2,2330,7,1-4,900,3,1-2-4,490,2,1-4,530,3,,,,,,,
20260717,びわこ,4,予選,晴,北東,2,2,3,2,5223,森 清 友 翔,68,40,6.76,2,0.13,1.53.1,1-4-2,2330,7,1-4,900,3,1-2-4,490,2,1-4,530,3,,,,,,,
20260717,びわこ,4,予選,晴,北東,2,2,4,5,4552,杉 山 勝 匡,25,13,6.84,5,0.21,1.56.0,1-4-2,2330,7,1-4,900,3,1-2-4,490,2,1-4,530,3,,,,,,,
20260717,びわこ,4,予選,晴,北東,2,2,5,3,3843,上 之 晃 弘,63,44,6.76,3,0.16,,1-4-2,2330,7,1-4,900,3,1-2-4,490,2,1-4,530,3,,,,,,,
20260717,びわこ,4,予選,晴,北東,2,2,6,6,4593,小 坂 宗 司,48,52,6.73,6,0.32,,1-4-2,2330,7,1-4,900,3,1-2-4,490,2,1-4,530,3,,,,,,,
20260717,びわこ,5,予選,晴,北東,3,3,1,3,4725,佐 竹 太 一,22,62,6.77,3,0.14,1.51.5,3-4-1,19890,50,3-4,6920,17,1-3-4,1480,6,3-4,3380,10,,,,,,,
20260717,びわこ,5,予選,晴,北東,3,3,2,4,3643,米 田 隆 弘,19,65,6.85,4,0.15,1.53.1,3-4-1,19890,50,3-4,6920,17,1-3-4,1480,6,3-4,3380,10,,,,,,,
20260717,びわこ,5,予選,晴,北東,3,3,3,1,4118,宇佐見 淳,43,30,6.87,1,0.11,1.54.8,3-4-1,19890,50,3-4,6920,17,1-3-4,1480,6,3-4,3380,10,,,,,,,
20260717,びわこ,5,予選,晴,北東,3,3,4,2,4202,浮 田 圭 浩,58,33,6.83,2,0.17,1.55.8,3-4-1,19890,50,3-4,6920,17,1-3-4,1480,6,3-4,3380,10,,,,,,,
20260717,びわこ,5,予選,晴,北東,3,3,5,5,3940,飯 山 泰,16,17,6.77,5,0.14,,3-4-1,19890,50,3-4,6920,17,1-3-4,1480,6,3-4,3380,10,,,,,,,
20260717,びわこ,5,予選,晴,北東,3,3,6,6,5075,中 島 秀 治,60,39,6.78,6,0.14,,3-4-1,19890,50,3-4,6920,17,1-3-4,1480,6,3-4,3380,10,,,,,,,
20260717,びわこ,6,予選,晴,北東,4,3,1,1,4200,早 川 尚 人,20,70,6.72,1,0.16,1.52.2,1-4-6,2530,5,1-4,500,2,1-4-6,910,3,1-4,330,1,,,,,,,
20260717,びわこ,6,予選,晴,北東,4,3,2,4,4624,高 田 明,72,47,6.79,4,0.19,1.53.3,1-4-6,2530,5,1-4,500,2,1-4-6,910,3,1-4,330,1,,,,,,,
20260717,びわこ,6,予選,晴,北東,4,3,3,6,3327,野長瀬 正 孝,28,67,6.83,6,0.24,1.56.0,1-4-6,2530,5,1-4,500,2,1-4-6,910,3,1-4,330,1,,,,,,,
20260717,びわこ,6,予選,晴,北東,4,3,4,5,3831,安 藤 裕 貴,36,66,6.88,5,0.17,1.56.9,1-4-6,2530,5,1-4,500,2,1-4-6,910,3,1-4,330,1,,,,,,,
