date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop,lap_time,turn_time,straight_time,lap_rank,turn_rank,straight_rank,exhibition_eval
20250926,びわこ,1,予選,晴,南西,3,3,1,1,4594,谷 川 祐 一,69,58,6.72,1,0.15,1.50.9,1-6-3,3150,14,1-6,700,4,1-3-6,1180,8,1-6,400,1,,,,,,,
20250926,びわこ,1,予選,晴,南西,3,3,2,6,4369,丹 下 将,58,14,6.63,6,0.14,1.51.0,1-6-3,3150,14,1-6,700,4,1-3-6,1180,8,1-6,400,1,,,,,,,
20250926,びわこ,1,予選,晴,南西,3,3,3,3,3869,井 芹 大 志,56,20,6.71,3,0.20,1.53.4,1-6-3,3150,14,1-6,700,4,1-3-6,1180,8,1-6,400,1,,,,,,,
20250926,びわこ,1,予選,晴,南西,3,3,4,4,4550,石 岡 将 太,17,25,6.66,4,0.19,1.54.3,1-6-3,3150,14,1-6,700,4,1-3-6,1180,8,1-6,400,1,,,,,,,
20250926,びわこ,1,予選,晴,南西,3,3,5,5,3584,佐々木 英 樹,32,55,6.70,5,0.16,,1-6-3,3150,14,1-6,700,4,1-3-6,1180,8,1-6,400,1,,,,,,,
20250926,びわこ,1,予選,晴,南西,3,3,6,2,3647,伊 藤 雄 二,73,29,6.72,2,0.18,,1-6-3,3150,14,1-6,700,4,1-3-6,1180,8,1-6,400,1,,,,,,,
20250926,びわこ,2,予選,曇り,南,3,3,1,3,4034,西 原 明 生,37,19,6.58,3,0.27,1.50.6,3-1-5,18560,43,3-1,4040,11,1-3-5,2720,8,1-3,480,2,,,,,,,
20250926,びわこ,2,予選,曇り,南,3,3,2,1,4824,松 井 洪 弥,49,65,6.59,1,0.22,1.51.4,3-1-5,18560,43,3-1,4040,11,1-3-5,2720,8,1-3,480,2,,,,,,,
20250926,びわこ,2,予選,曇り,南,3,3,3,5,5086,本 村 大,24,31,6.70,5,0.35,1.54.3,3-1-5,18560,43,3-1,4040,11,1-3-5,2720,8,1-3,480,2,,,,,,,
20250926,びわこ,2,予選,曇り,南,3,3,4,4,4953,尾 上 雅 也,45,30,6.63,4,0.25,1.54.9,3-1-5,18560,43,3-1,4040,11,1-3-5,2720,8,1-3,480,2,,,,,,,
