date,venue_name,race_no,race_type,weather,wind_dir,wind_ms,wave_cm,rank,waku,reg_no,name,motor_no,boat_no,exhibition_time,course_enter,st_timing,race_time,won3,won3_pay,won3_pop,won2,won2_pay,won2_pop,trio,trio_pay,trio_pop,pair,pair_pay,pair_pop
20260503,三国,1,みくにあさイチ,曇り,12,5,5,1,1,4066,東本　　勝利,,,,,,1.493,1-2-6,2770,10,1-2,370,2,1-2-6,1680,7,1-2,360,3
20260503,三国,1,みくにあさイチ,曇り,12,5,5,2,2,3891,谷口　　健一,,,,,,1.519,1-2-6,2770,10,1-2,370,2,1-2-6,1680,7,1-2,360,3
20260503,三国,1,みくにあさイチ,曇り,12,5,5,3,6,4139,丹下　　　健,,,,,,1.527,1-2-6,2770,10,1-2,370,2,1-2-6,1680,7,1-2,360,3
20260503,三国,1,みくにあさイチ,曇り,12,5,5,4,4,3620,信濃　　由行,,,,,,1.540,1-2-6,2770,10,1-2,370,2,1-2-6,1680,7,1-2,360,3
20260503,三国,1,みくにあさイチ,曇り,12,5,5,5,3,5156,坂野　さくら,,,,,,,1-2-6,2770,10,1-2,370,2,1-2-6,1680,7,1-2,360,3
20260503,三国,1,みくにあさイチ,曇り,12,5,5,6,5,5355,萩原　丈太朗,,,,,,,1-2-6,2770,10,1-2,370,2,1-2-6,1680,7,1-2,360,3
20260503,三国,2,みくにあさガチ,曇り,12,4,4,1,2,3833,中辻　　博訓,,,,,,1.494,2-3-6,5370,20,2-3,1390,5,2-3-6,1950,8,2-3,1090,5
20260503,三国,2,みくにあさガチ,曇り,12,4,4,2,3,4664,東口　　　晃,,,,,,1.505,2-3-6,5370,20,2-3,1390,5,2-3-6,1950,8,2-3,1090,5
20260503,三国,2,みくにあさガチ,曇り,12,4,4,3,6,3814,金子　　貴志,,,,,,1.521,2-3-6,5370,20,2-3,1390,5,2-3-6,1950,8,2-3,1090,5
20260503,三国,2,みくにあさガチ,曇り,12,4,4,4,1,3692,竹腰　　正樹,,,,,,1.531,2-3-6,5370,20,2-3,1390,5,2-3-6,1950,8,2-3,1090,5
20260503,三国,2,みくにあさガチ,曇り,12,4,4,5,5,4711,前出　　達吉,,,,,,,2-3-6,5370,20,2-3,1390,5,2-3-6,1950,8,2-3,1090,5
20260503,三国,2,みくにあさガチ,曇り,12,4,4,6,4,4176,樋口　　喜彦,,,,,,,2-3-6,5370,20,2-3,1390,5,2-3-6,1950,8,2-3,1090,5
20260503,三国,3,みくにあさズバ,曇り,12,4,4,1,1,4391,松田　　祐季,,,,,,1.495,1-5-2,8980,30,1-5,450,2,1-2-5,4490,13,1-5,440,3
20260503,三国,3,みくにあさズバ,曇り,12,4,4,2,5,5091,為本　　智也,,,,,,1.502,1-5-2,8980,30,1-5,450,2,1-2-5,4490,13,1-5,440,3
20260503,三国,3,みくにあさズバ,曇り,12,4,4,3,2,5251,沼田　　七華,,,,,,1.518,1-5-2,8980,30,1-5,450,2,1-2-5,4490,13,1-5,440,3
20260503,三国,3,みくにあさズバ,曇り,12,4,4,4,6,4520,高倉　　孝太,,,,,,1.530,1-5-2,8980,30,1-5,450,2,1-2-5,4490,13,1-5,440,3
20260503,三国,3,みくにあさズバ,曇り,12,4,4,5,4,4735,角山　　雄哉,,,,,,,1-5-2,8980,30,1-5,450,2,1-2-5,4490,13,1-5,440,3
20260503,三国,3,みくにあさズバ,曇り,12,4,4,6,3,4469,土山　　卓也,,,,,,,1-5-2,8980,30,1-5,450,2,1-2-5,4490,13,1-5,440,3
20260503,三国,4,みくにあさ推し,曇り,12,5,5,1,1,4930,佐藤　　　悠,,,,,,1.501,1-2-4,540,1,1-2,250,1,1-2-4,230,1,1-2,180,1
20260503,三国,4,みくにあさ推し,曇り,12,5,5,2,2,5114,小林　　孝彰,,,,,,1.515,1-2-4,540,1,1-2,250,1,1-2-4,230,1,1-2,180,1
20260503,三国,4,みくにあさ推し,曇り,12,5,5,3,4,4470,平田　健之佑,,,,,,1.530,1-2-4,540,1,1-2,250,1,1-2-4,230,1,1-2,180,1
20260503,三国,4,みくにあさ推し,曇り,12,5,5,4,5,3922,菅沼　　佳昭,,,,,,1.542,1-2-4,540,1,1-2,250,1,1-2-4,230,1,1-2,180,1
20260503,三国,4,みくにあさ推し,曇り,12,5,5,5,3,5185,加藤　　優弥,,,,,,,1-2-4,540,1,1-2,250,1,1-2-4,230,1,1-2,180,1
20260503,三国,4,みくにあさ推し,曇り,12,5,5,6,6,5465,直江　　健成,,,,,,,1-2-4,540,1,1-2,250,1,1-2-4,230,1,1-2,180,1
